date,tnh_flow_{t-11},tnh_flow_{t-10},tnh_flow_{t-9},tnh_flow_{t-8},tnh_flow_{t-7},tnh_flow_{t-6},tnh_flow_{t-5},tnh_flow_{t-4},tnh_flow_{t-3},tnh_flow_{t-2},tnh_flow_{t-1},tnh_flow_{t},tnh_flow_{t+1},flow_{t+1}
1961-01-31,114.99402628434886,121.00893997445722,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,219.0113500597372
1961-02-28,121.00893997445722,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,214.9884259259259
1961-03-31,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,279.00985663082434
1961-04-30,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,525.0771604938271
1961-05-31,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,701.9115890083632
1961-06-30,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,849.9228395061729
1961-07-31,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1749.9253285543607
1961-08-31,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1210.0507765830346
1961-09-30,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1260.0308641975307
1961-10-31,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,1479.9880525686976
1961-11-30,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,880.0154320987655
1961-12-31,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,368.9889486260453
1962-01-31,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,256.98178016726405
1962-02-28,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,234.99503968253967
1962-03-31,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,289.35185185185185
1962-04-30,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,444.0586419753087
1962-05-31,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,617.9062126642772
1962-06-30,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1160.108024691358
1962-07-31,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1490.068697729988
