date,tnh_flow_{t-11},tnh_flow_{t-10},tnh_flow_{t-9},tnh_flow_{t-8},tnh_flow_{t-7},tnh_flow_{t-6},tnh_flow_{t-5},tnh_flow_{t-4},tnh_flow_{t-3},tnh_flow_{t-2},tnh_flow_{t-1},tnh_flow_{t},tnh_flow_{t+1},flow_{t+1}
1961-01-31,114.99402628434886,121.00893997445722,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,173.01373954599762
1961-02-28,121.00893997445722,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,167.989417989418
1961-03-31,158.90083632019116,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,241.0020908004779
1961-04-30,209.9922839506173,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,476.8518518518519
1961-05-31,252.01612903225808,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,673.9097968936678
1961-06-30,554.0123456790124,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,834.104938271605
1961-07-31,1080.1224611708485,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1699.895459976105
1961-08-31,1210.0507765830346,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1099.910394265233
1961-09-30,1010.0308641975308,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1079.861111111111
1961-10-31,787.037037,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,1310.110513739546
1961-11-30,459.10493827160496,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,755.0154320987655
1961-12-31,200.00746714456392,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,286.9997013142174
1962-01-31,168.01075268817203,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,196.01254480286727
1962-02-28,160.135582,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,192.00562169312167
1962-03-31,231.00731780167263,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,205.01045400238948
1962-04-30,469.9074074074074,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,398.14814814814815
1962-05-31,635.8273596176822,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,576.836917562724
1962-06-30,784.5293209876543,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1140.0462962962963
1962-07-31,1649.8655913978494,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1490.068697729988
1962-08-31,1089.8297491039427,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,1239.9193548387098
1962-09-30,1060.1851851851852,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,694.8302469135804
1962-10-31,1300.0298685782557,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,732.1535244922342
1962-11-30,695.9876543209876,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,456.0185185185185
1962-12-31,269.0038829151732,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,214.0083632019116
1963-01-31,192.98835125448028,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,141.98775388291517
1963-02-28,185.0198412698413,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,137.97949735449737
1963-03-31,201.9862604540024,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,212.320788530466
1963-04-30,400.8487654320988,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,283.9891975308642
1963-05-31,576.0902031063322,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,467.81660692951016
1963-06-30,1050.1543209876545,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,675.1543209876543
1963-07-31,1379.9283154121863,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1519.937275985663
1963-08-31,1099.910394265233,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,1199.9701314217443
1963-09-30,641.9753086419753,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,2219.9074074074074
1963-10-31,670.9229390681004,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,1630.077658303465
1963-11-30,415.89506172839504,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,574.8456790123457
1963-12-31,187.0146356033453,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,266.9877538829152
1964-01-31,130.00298685782556,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,202.99432497013143
1964-02-29,129.00958994708995,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,191.01213282247764
1964-03-31,179.99551971326164,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,251.00806451612905
1964-04-30,272.9938271604938,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,405.0925925925926
1964-05-31,449.14874551971326,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,585.0507765830347
1964-06-30,648.9197530864197,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,623.8425925925927
1964-07-31,1490.068697729988,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,1820.116487455197,1810.0358422939069
1964-08-31,1139.8596176821984,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,1820.116487455197,1300.0298685782557,1410.1702508960575
1964-09-30,2219.9074074074074,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,1820.116487455197,1300.0298685782557,1359.9537037037037,1410.1080246913575
1964-10-31,1540.0985663082438,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,1820.116487455197,1300.0298685782557,1359.9537037037037,1160.020908004779,1249.9999999999998
1964-11-30,540.1234567901234,256.98178016726405,192.98835125448028,184.98563218390805,242.01015531660693,405.0925925925926,567.1296296296297,587.9629629629629,1820.116487455197,1300.0298685782557,1359.9537037037037,1160.020908004779,540.8950617,584.8765432098766
