date,flow,R-LSTM
1961-01-31,219.01135005973723,187.46405
1961-02-28,214.9884259259259,174.30666
1961-03-31,279.00985663082434,237.40512
1961-04-30,525.0771604938271,463.03378
1961-05-31,701.9115890083632,647.3529
1961-06-30,849.9228395061729,808.82874
1961-07-31,1749.9253285543607,1650.5186
1961-08-31,1210.0507765830346,1177.4159
1961-09-30,1260.0308641975307,1102.3442
1961-10-31,1479.9880525686976,1319.1132
1961-11-30,880.0154320987656,762.4078
1961-12-31,368.9889486260453,324.50754
1962-01-31,256.98178016726405,212.91806
1962-02-28,234.99503968253967,193.71005
1962-03-31,289.35185185185185,208.756
1962-04-30,444.0586419753087,391.2112
1962-05-31,617.9062126642772,578.8268
1962-06-30,1160.108024691358,1045.492
1962-07-31,1490.068697729988,1415.5841
1962-08-31,1260.0806451612902,1170.5265
1962-09-30,755.0154320987655,708.961
1962-10-31,778.0764635603346,691.1159
1962-11-30,511.1882716049383,458.77097
1962-12-31,275.98566308243727,227.93642
1963-01-31,176.00059737156514,151.31126
1963-02-28,188.98809523809524,142.73055
1963-03-31,247.98387096774192,189.13676
1963-04-30,331.01851851851853,281.22925
1963-05-31,523.8201911589008,455.12665
1963-06-30,714.8919753,662.71124
1963-07-31,1609.9163679808842,1483.6134
1963-08-31,1310.110513739546,1223.5406
1963-09-30,2369.984567901234,2246.1223
1963-10-31,1870.1463560334528,1620.1395
1963-11-30,694.8302469135804,614.0286
1963-12-31,340.0164277180406,294.9877
1964-01-31,238.98596176821985,206.268
1964-02-29,253.9910600255428,187.83737
1964-03-31,318.9964157706093,239.03387
1964-04-30,486.1111111111111,395.996
1964-05-31,670.9229390681004,568.5574
1964-06-30,719.9074074074074,612.75854
1964-07-31,2000.0746714456395,1780.8364
1964-08-31,1540.0985663082438,1389.6144
1964-09-30,1599.9228395061727,1406.337
1964-10-31,1369.847670250896,1207.5211
1964-11-30,652.0061728395061,606.6226
1964-12-31,332.9973118,297.93436
1965-01-31,238.98596176821985,202.64436
1965-02-28,265.54232804232805,195.59746
1965-03-31,283.0047789725209,215.86404
1965-04-30,432.87037037037044,345.25842
1965-05-31,667.9360812425329,574.63403
1965-06-30,935.1851851851852,834.9247
1965-07-31,1569.9671445639185,1450.1505
1965-08-31,838.9336917562724,803.7486
1965-09-30,1050.1543209876545,980.6204
1965-10-31,869.9223416965351,825.0679
1965-11-30,447.91666666666663,430.09256
1965-12-31,223.0062724014337,209.35762
1966-01-31,187.0146356033453,184.4579
1966-02-28,187.00396825396825,173.4318
1966-03-31,244.9970131421744,232.74156
1966-04-30,334.99228395061726,312.66547
1966-05-31,405.09259259259267,368.207
1966-06-30,484.18209876543216,446.22858
1966-07-31,1040.1732377538829,1035.1711
1966-08-31,1780.1672640382317,1723.4297
1966-09-30,2060.185185185185,2094.3042
1966-10-31,1469.9074074074072,1426.8488
1966-11-30,635.0308641975308,637.299
1966-12-31,325.0074671445639,314.26425
1967-01-31,243.9889486260454,216.075
1967-02-28,218.0059523809524,191.18303
1967-03-31,270.98267622461174,245.75789
1967-04-30,369.9845679012346,358.5018
1967-05-31,1160.020908004779,1053.6149
1967-06-30,1219.9074074074074,1172.9398
1967-07-31,2113.575268817204,2054.863
1967-08-31,1699.8954599761048,1662.6603
1967-09-30,2550.154320987654,2427.673
1967-10-31,1630.077658303465,1556.8732
1967-11-30,841.0493827160494,763.52295
1967-12-31,386.05137395459974,349.75693
1968-01-31,286.9997013142174,246.22739
1968-02-29,253.9910600255428,210.87216
1968-03-31,317.9883512544803,279.4989
1968-04-30,496.9135802469136,473.8783
1968-05-31,1189.889486260454,1110.7267
1968-06-30,1130.0154320987654,1154.158
1968-07-31,1440.0388291517324,1365.4922
1968-08-31,1020.0119474313022,986.3933
1968-09-30,2069.830247,2022.7463
1968-10-31,1319.8178016726404,1205.8242
1968-11-30,677.8549383,570.1628
1968-12-31,378.9575866188769,308.5573
1969-01-31,261.9847670250896,224.06252
1969-02-28,251.98412700000003,198.37944
1969-03-31,294.9895459976105,241.85646
1969-04-30,375.0000000000001,315.59293
1969-05-31,548.8351254480286,467.36267
1969-06-30,689.8148148148148,642.7477
1969-07-31,1149.9402628434889,1084.1593
1969-08-31,881.8697729988053,802.7948
1969-09-30,768.1327160493827,729.7063
1969-10-31,896.057347670251,800.88794
1969-11-30,437.11419753086426,417.5825
1969-12-31,218.0032855436081,203.49107
1970-01-31,183.99044205495807,151.3034
1970-02-28,159.01951058201058,145.46819
1970-03-31,200.00746714456392,192.49156
1970-04-30,380.0154320987655,363.94907
1970-05-31,594.0113500597372,550.91034
1970-06-30,714.1203703703704,680.6047
1970-07-31,731.0334528076463,745.22906
1970-08-31,1229.8387096774193,1118.1349
1970-09-30,599.9228395061729,618.1618
1970-10-31,645.1612903225806,610.9935
1970-11-30,372.9938271604938,381.4842
1970-12-31,186.00657108721623,200.87535
1971-01-31,183.24372759856632,150.05353
1971-02-28,156.00198412698413,69.71601
1971-03-31,201.0155316606929,190.24522
1971-04-30,315.0077160493827,340.79453
1971-05-31,477.8972520908004,461.7072
1971-06-30,618.8271604938271,637.0778
1971-07-31,714.979092,692.8808
1971-08-31,614.9193548387096,649.5346
1971-09-30,1369.9845679012346,1313.8475
1971-10-31,1870.1463560334528,1762.1262
1971-11-30,755.0154320987655,739.1602
1971-12-31,303.0167264038232,328.14844
1972-01-31,220.99014336917563,235.11766
1972-02-29,212.00510855683268,208.33447
1972-03-31,280.98864994026286,275.83902
1972-04-30,440.2006172839505,421.71912
1972-05-31,742.9808841099162,704.12067
1972-06-30,1060.1851851851852,1032.063
1972-07-31,1929.8835125448031,1935.919
1972-08-31,1130.152329749104,1073.8538
1972-09-30,814.8148148148148,800.8577
1972-10-31,652.6284348864993,640.73663
1972-11-30,378.00925925925924,379.75867
1972-12-31,215.01642771804063,221.58704
1973-01-31,174.99253285543608,175.97313
1973-02-28,178.98478835978835,172.04811
1973-03-31,219.01135005973723,219.8132
1973-04-30,279.0123456790124,284.90546
1973-05-31,561.9026284348865,539.4124
1973-06-30,1000.0,1018.5316
1973-07-31,953.9277180406212,905.7731
1973-08-31,928.1660692951016,921.9443
1973-09-30,1069.830247,996.49603
1973-10-31,1070.041816009558,1054.7968
1973-11-30,548.9969135802469,559.71484
1973-12-31,256.0110513739546,276.33188
1974-01-31,167.0026882,172.01964
1974-02-28,181.0102513227513,167.19939
1974-03-31,227.00119474313018,215.48796
1974-04-30,325.0,306.14337
1974-05-31,489.09796893667857,492.70773
1974-06-30,917.0524691358024,875.0831
1974-07-31,897.9241338112306,902.973
1974-08-31,1040.1732377538829,1034.6271
1974-09-30,1349.9228395061727,1370.8793
1974-10-31,999.8506571087216,1004.69244
1974-11-30,636.1882716049382,621.8847
1974-12-31,284.98357228195937,304.57095
1975-01-31,192.98835125448028,192.57832
1975-02-28,192.9976851851852,175.90027
1975-03-31,242.01015531660693,231.62947
1975-04-30,301.00308641975306,318.3035
1975-05-31,679.8835125448029,673.9991
1975-06-30,1140.0462962962963,1145.4916
1975-07-31,2280.0925925925926,2338.2004
1975-08-31,1929.8835125448031,1938.071
1975-09-30,1729.9382716049383,1740.8278
1975-10-31,2010.155316606929,1985.887
1975-11-30,949.0740741,920.1611
1975-12-31,372.0131421744325,389.72647
1976-01-31,271.9907407407408,259.92834
1976-02-29,279.01500638569604,245.97159
1976-03-31,329.0023894862604,307.6132
1976-04-30,451.3888888888889,438.6045
1976-05-31,654.8685782556751,653.5082
1976-06-30,1199.8456790123455,1130.3989
1976-07-31,1519.937275985663,1531.7858
1976-08-31,2060.185185185185,1993.8269
1976-09-30,2150.077160493828,1945.6982
