date,flow_{t+1},CER-CNN
1961-01-31,173.01373954599762,203.47708
1961-02-28,167.989417989418,200.9741
1961-03-31,241.0020908004779,233.19891
1961-04-30,476.8518518518519,498.69345
1961-05-31,673.9097968936678,727.1624
1961-06-30,834.104938271605,891.9188
1961-07-31,1699.895459976105,1672.9829
1961-08-31,1099.910394265233,1081.3555
1961-09-30,1079.861111111111,1087.9479
1961-10-31,1310.110513739546,1275.7224
1961-11-30,755.0154320987655,768.91833
1961-12-31,286.9997013142174,291.726
1962-01-31,196.01254480286727,208.12483
1962-02-28,192.00562169312167,200.89647
1962-03-31,205.01045400238948,240.0635
1962-04-30,398.1481481481481,418.12137
1962-05-31,576.836917562724,637.7797
1962-06-30,1140.0462962962963,1141.0112
1962-07-31,1490.068697729988,1478.2235
1962-08-31,1239.9193548387098,1224.9807
1962-09-30,694.8302469135804,742.3151
1962-10-31,732.1535244922342,734.57855
1962-11-30,456.0185185185184,453.12277
1962-12-31,214.00836320191158,240.94113
1963-01-31,141.98775388291517,179.68819
1963-02-28,137.97949735449737,172.99106
1963-03-31,212.32078853046602,231.19864
1963-04-30,283.9891975308642,308.18942
1963-05-31,467.81660692951016,512.25525
1963-06-30,675.1543209876543,700.624
1963-07-31,1519.937275985663,1501.3223
1963-08-31,1199.9701314217443,1193.1166
1963-09-30,2219.9074074074074,2220.5713
1963-10-31,1630.077658303465,1588.3132
1963-11-30,574.8456790123457,562.4694
1963-12-31,266.9877538829152,277.52585
1964-01-31,202.99432497013143,203.80115
1964-02-29,191.01213282247764,204.15564
1964-03-31,251.00806451612902,255.87117
1964-04-30,405.0925925925926,365.30197
1964-05-31,585.0507765830347,645.6592
1964-06-30,623.8425925925927,688.13275
1964-07-31,1810.0358422939069,1892.0471
1964-08-31,1410.1702508960575,1455.7935
1964-09-30,1410.1080246913575,1421.5476
1964-10-31,1249.9999999999998,1204.0913
1964-11-30,584.8765432098766,594.664
1964-12-31,275.01493428912784,281.2367
1965-01-31,197.99133811230587,209.03333
1965-02-28,207.010582010582,200.00403
1965-03-31,227.0011947431302,232.63503
1965-04-30,349.99999999999994,326.02905
1965-05-31,586.9175627240144,630.32043
1965-06-30,866.1265432098766,967.0884
1965-07-31,1500.1493428912784,1513.7467
1965-08-31,794.1308243727599,869.3297
1965-09-30,996.141975308642,964.06085
1965-10-31,823.9994026284348,795.7099
1965-11-30,417.0524691358024,422.20435
1965-12-31,213.00029868578244,220.95354
1966-01-31,173.98446833930706,170.83594
1966-02-28,166.9973544973545,178.68141
1966-03-31,227.0011947431302,236.65326
1966-04-30,310.9953703703704,312.81802
1966-05-31,368.01821983273584,454.34763
1966-06-30,447.91666666666663,531.6372
1966-07-31,1049.8805256869773,1084.0614
1966-08-31,1749.925328554361,1776.132
1966-09-30,2010.030864197531,2046.5533
1966-10-31,1440.0388291517324,1399.6678
1966-11-30,601.8518518518518,574.9274
1966-12-31,285.9916367980884,283.48053
1967-01-31,206.0185185185185,221.76312
1967-02-28,192.9976851851852,208.22054
1967-03-31,249.77598566308242,261.6054
1967-04-30,347.9938271604938,336.53082
1967-05-31,1109.9910394265232,1162.2332
1967-06-30,1170.138888888889,1257.1262
1967-07-31,1969.832735961768,1992.3792
1967-08-31,1649.8655913978494,1616.6174
1967-09-30,2359.953703703704,2358.8552
1967-10-31,1540.0985663082438,1531.1455
1967-11-30,812.1141975308642,785.342
1967-12-31,353.0092592592592,378.08112
1968-01-31,255.0029868578256,251.67653
1968-02-29,229.00702426564496,234.14832
1968-03-31,307.0116487455198,299.80084
1968-04-30,500.0,530.57574
1968-05-31,1189.889486260454,1246.9843
1968-06-30,1160.108024691358,1241.0007
1968-07-31,1419.8775388291515,1406.6875
1968-08-31,974.8357228195937,991.2572
1968-09-30,2040.123456790124,2052.6646
1968-10-31,1220.131421744325,1213.153
1968-11-30,562.8858024691358,546.9438
1968-12-31,315.00149342891274,323.42337
1969-01-31,234.99103942652332,227.4868
