date,flow,R-LSTM
1961-01-31,173.01373954599762,184.90868
1961-02-28,167.989417989418,180.4539
1961-03-31,241.0020908004779,248.26155
1961-04-30,476.8518518518519,483.1628
1961-05-31,673.9097968936678,664.03235
1961-06-30,834.104938271605,818.6392
1961-07-31,1699.895459976105,1687.489
1961-08-31,1099.910394265233,1159.6293
1961-09-30,1079.861111111111,1092.9968
1961-10-31,1310.110513739546,1350.9897
1961-11-30,755.0154320987655,751.7155
1961-12-31,286.9997013142174,315.0405
1962-01-31,196.01254480286727,209.71632
1962-02-28,192.00562169312167,204.34563
1962-03-31,205.01045400238948,222.92645
1962-04-30,398.1481481481481,410.03076
1962-05-31,576.836917562724,596.5935
1962-06-30,1140.0462962962963,1069.3921
1962-07-31,1490.068697729988,1421.007
1962-08-31,1239.9193548387098,1151.4579
1962-09-30,694.8302469135804,698.6618
1962-10-31,732.1535244922342,695.3752
1962-11-30,456.0185185185185,458.38193
1962-12-31,214.00836320191164,224.08884
1963-01-31,141.98775388291517,148.60191
1963-02-28,137.97949735449737,146.95549
1963-03-31,212.320788530466,196.73674
1963-04-30,283.9891975308642,289.81128
1963-05-31,467.8166069295101,468.4681
1963-06-30,675.1543209876543,678.14514
1963-07-31,1519.937275985663,1526.6744
1963-08-31,1199.9701314217443,1208.2543
1963-09-30,2219.9074074074074,2239.465
1963-10-31,1630.077658303465,1622.0222
1963-11-30,574.8456790123457,600.80914
1963-12-31,266.9877538829152,278.9392
1964-01-31,202.99432497013143,210.95245
1964-02-29,191.01213282247764,206.81285
1964-03-31,251.00806451612905,258.96893
1964-04-30,405.0925925925926,414.54965
1964-05-31,585.0507765830347,584.1765
1964-06-30,623.8425925925927,619.4234
1964-07-31,1810.0358422939066,1823.2922
1964-08-31,1410.1702508960575,1367.4117
1964-09-30,1410.1080246913575,1382.5876
1964-10-31,1249.9999999999998,1231.5305
1964-11-30,584.8765432098766,594.03107
1964-12-31,275.01493428912784,288.78317
1965-01-31,197.99133811230587,205.54735
1965-02-28,207.010582010582,209.57945
1965-03-31,227.00119474313024,230.27806
1965-04-30,349.99999999999994,360.49164
1965-05-31,586.9175627240144,593.56366
1965-06-30,866.1265432098766,850.95306
1965-07-31,1500.1493428912784,1467.7367
1965-08-31,794.1308243727599,794.1012
1965-09-30,996.141975308642,988.1384
1965-10-31,823.9994026284348,838.7398
