date,flow,CER-LSTM
1961-01-31,219.01135005973723,179.81094
1961-02-28,214.9884259259259,169.16878
1961-03-31,279.00985663082434,230.01411
1961-04-30,525.0771604938271,459.35617
1961-05-31,701.9115890083632,631.7465
1961-06-30,849.9228395061729,773.7958
1961-07-31,1749.9253285543607,1617.2684
1961-08-31,1210.0507765830346,1154.1152
1961-09-30,1260.0308641975307,1130.9922
1961-10-31,1479.9880525686976,1344.4102
1961-11-30,880.0154320987656,755.13904
1961-12-31,368.9889486260453,300.51495
1962-01-31,256.98178016726405,200.92249
1962-02-28,234.99503968253967,200.75128
1962-03-31,289.35185185185185,207.81499
1962-04-30,444.0586419753087,395.67053
1962-05-31,617.9062126642772,592.4473
1962-06-30,1160.108024691358,1030.3989
1962-07-31,1490.068697729988,1397.2045
1962-08-31,1260.0806451612902,1207.025
1962-09-30,755.0154320987655,759.3718
1962-10-31,778.0764635603346,737.0485
1962-11-30,511.1882716049383,487.72562
1962-12-31,275.98566308243727,240.17525
1963-01-31,176.00059737156514,157.84685
1963-02-28,188.98809523809524,146.9072
1963-03-31,247.98387096774192,191.6741
1963-04-30,331.01851851851853,307.3033
1963-05-31,523.8201911589008,493.0437
1963-06-30,714.8919753,674.89026
1963-07-31,1609.9163679808842,1512.0457
1963-08-31,1310.110513739546,1246.2454
1963-09-30,2369.984567901234,2245.9937
1963-10-31,1870.1463560334528,1673.8525
1963-11-30,694.8302469135804,663.2824
1963-12-31,340.0164277180406,295.24673
1964-01-31,238.98596176821985,212.60847
1964-02-29,253.9910600255428,201.32439
1964-03-31,318.9964157706093,242.04814
1964-04-30,486.1111111111111,419.1469
1964-05-31,670.9229390681004,597.54315
1964-06-30,719.9074074074074,635.6864
1964-07-31,2000.0746714456395,1870.621
1964-08-31,1540.0985663082438,1435.8147
1964-09-30,1599.9228395061727,1453.4601
1964-10-31,1369.847670250896,1312.5587
1964-11-30,652.0061728395061,656.2832
1964-12-31,332.9973118,305.11145
1965-01-31,238.98596176821985,200.34807
1965-02-28,265.54232804232805,197.76662
1965-03-31,283.0047789725209,227.67896
1965-04-30,432.87037037037044,371.7182
1965-05-31,667.9360812425329,600.95123
1965-06-30,935.1851851851852,837.11676
1965-07-31,1569.9671445639185,1485.0498
1965-08-31,838.9336917562724,848.5589
1965-09-30,1050.1543209876545,1009.2714
1965-10-31,869.9223416965351,866.38324
1965-11-30,447.91666666666663,455.58936
1965-12-31,223.0062724014337,221.7306
1966-01-31,187.0146356033453,182.27647
1966-02-28,187.00396825396825,176.21202
1966-03-31,244.9970131421744,232.42905
1966-04-30,334.99228395061726,325.32047
1966-05-31,405.09259259259267,404.54968
1966-06-30,484.18209876543216,490.15912
1966-07-31,1040.1732377538829,1025.706
1966-08-31,1780.1672640382317,1767.4501
1966-09-30,2060.185185185185,2090.824
1966-10-31,1469.9074074074072,1460.6769
1966-11-30,635.0308641975308,626.92096
1966-12-31,325.0074671445639,301.2437
1967-01-31,243.9889486260454,209.34482
1967-02-28,218.0059523809524,194.61354
1967-03-31,270.98267622461174,244.05272
1967-04-30,369.9845679012346,351.93146
1967-05-31,1160.020908004779,1066.4379
1967-06-30,1219.9074074074074,1140.8688
1967-07-31,2113.575268817204,2051.4731
1967-08-31,1699.8954599761048,1622.815
1967-09-30,2550.154320987654,2456.8828
1967-10-31,1630.077658303465,1536.186
1967-11-30,841.0493827160494,732.9416
1967-12-31,386.05137395459974,315.2771
1968-01-31,286.9997013142174,237.5366
1968-02-29,253.9910600255428,218.34445
1968-03-31,317.9883512544803,282.25558
1968-04-30,496.9135802469136,464.72742
1968-05-31,1189.889486260454,1110.7533
1968-06-30,1130.0154320987654,1104.6577
1968-07-31,1440.0388291517324,1315.321
1968-08-31,1020.0119474313022,986.44275
1968-09-30,2069.830247,2025.6514
1968-10-31,1319.8178016726404,1220.0714
1968-11-30,677.8549383,574.5166
1968-12-31,378.9575866188769,301.8013
1969-01-31,261.9847670250896,224.4127
1969-02-28,251.98412700000003,200.9985
1969-03-31,294.9895459976105,244.2941
1969-04-30,375.0000000000001,338.8643
1969-05-31,548.8351254480286,507.7113
1969-06-30,689.8148148148148,668.5289
1969-07-31,1149.9402628434889,1141.1597
1969-08-31,881.8697729988053,854.4085
1969-09-30,768.1327160493827,746.37305
1969-10-31,896.057347670251,823.36926
1969-11-30,437.11419753086426,420.6584
1969-12-31,218.0032855436081,206.25674
1970-01-31,183.99044205495807,149.68175
1970-02-28,159.01951058201058,142.56569
1970-03-31,200.00746714456392,184.71146
1970-04-30,380.0154320987655,358.56662
1970-05-31,594.0113500597372,548.04364
1970-06-30,714.1203703703704,659.89716
1970-07-31,731.0334528076463,727.293
1970-08-31,1229.8387096774193,1140.1575
1970-09-30,599.9228395061729,628.5172
1970-10-31,645.1612903225806,608.3941
1970-11-30,372.9938271604938,375.9161
1970-12-31,186.00657108721623,200.44327
1971-01-31,183.24372759856632,147.42851
1971-02-28,156.00198412698413,79.74981
1971-03-31,201.0155316606929,186.00021
1971-04-30,315.0077160493827,345.1525
1971-05-31,477.8972520908004,474.08505
1971-06-30,618.8271604938271,636.15906
1971-07-31,714.979092,695.28625
