date,flow,E-LSTM
1961-01-31,219.01135005973723,195.55296
1961-02-28,214.9884259259259,198.25597
1961-03-31,279.00985663082434,248.42517
1961-04-30,525.0771604938271,463.55798
1961-05-31,701.9115890083632,564.31934
1961-06-30,849.9228395061729,634.37134
1961-07-31,1749.9253285543607,780.94653
1961-08-31,1210.0507765830346,870.5779
1961-09-30,1260.0308641975307,1023.8083
1961-10-31,1479.9880525686976,1179.8075
1961-11-30,880.0154320987656,692.5661
1961-12-31,368.9889486260453,263.95667
1962-01-31,256.98178016726405,237.6995
1962-02-28,234.99503968253967,269.54053
1962-03-31,289.35185185185185,276.22958
1962-04-30,444.0586419753087,460.79437
1962-05-31,617.9062126642772,619.3467
1962-06-30,1160.108024691358,777.34515
1962-07-31,1490.068697729988,1140.4763
1962-08-31,1260.0806451612902,1203.521
1962-09-30,755.0154320987655,1037.3822
1962-10-31,778.0764635603346,1064.5253
1962-11-30,511.1882716049383,649.1401
1962-12-31,275.98566308243727,312.05258
1963-01-31,176.00059737156514,250.74155
1963-02-28,188.98809523809524,261.3693
1963-03-31,247.98387096774192,298.2732
1963-04-30,331.01851851851853,411.40796
1963-05-31,523.8201911589008,539.4218
1963-06-30,714.8919753,721.5298
1963-07-31,1609.9163679808842,1289.2119
1963-08-31,1310.110513739546,1293.4244
1963-09-30,2369.984567901234,1772.758
1963-10-31,1870.1463560334528,1449.2914
1963-11-30,694.8302469135804,639.29816
1963-12-31,340.0164277180406,296.3442
1964-01-31,238.98596176821985,237.25276
1964-02-29,253.9910600255428,228.82152
1964-03-31,318.9964157706093,236.37332
1964-04-30,486.1111111111111,361.58093
1964-05-31,670.9229390681004,513.2142
1964-06-30,719.9074074074074,719.8683
1964-07-31,2000.0746714456395,1892.9928
1964-08-31,1540.0985663082438,1314.042
1964-09-30,1599.9228395061727,1520.5526
1964-10-31,1369.847670250896,1506.6942
1964-11-30,652.0061728395061,731.51263
1964-12-31,332.9973118,330.71094
1965-01-31,238.98596176821985,236.30423
1965-02-28,265.54232804232805,232.65335
1965-03-31,283.0047789725209,293.04727
1965-04-30,432.87037037037044,458.8149
1965-05-31,667.9360812425329,636.5179
1965-06-30,935.1851851851852,893.7199
1965-07-31,1569.9671445639185,1510.1643
1965-08-31,838.9336917562724,1099.9802
1965-09-30,1050.1543209876545,1208.6622
1965-10-31,869.9223416965351,1063.0133
1965-11-30,447.91666666666663,541.4834
1965-12-31,223.0062724014337,278.2288
1966-01-31,187.0146356033453,200.47084
1966-02-28,187.00396825396825,212.05975
1966-03-31,244.9970131421744,266.32697
1966-04-30,334.99228395061726,349.004
1966-05-31,405.09259259259267,486.46198
1966-06-30,484.18209876543216,659.63873
1966-07-31,1040.1732377538829,1156.2987
1966-08-31,1780.1672640382317,1763.3374
1966-09-30,2060.185185185185,1730.9028
1966-10-31,1469.9074074074072,1200.7413
1966-11-30,635.0308641975308,444.49045
1966-12-31,325.0074671445639,280.04486
1967-01-31,243.9889486260454,216.06027
1967-02-28,218.0059523809524,234.16943
1967-03-31,270.98267622461174,270.68726
1967-04-30,369.9845679012346,349.75882
1967-05-31,1160.020908004779,619.65576
1967-06-30,1219.9074074074074,894.2807
1967-07-31,2113.575268817204,1161.9514
1967-08-31,1699.8954599761048,1097.6948
1967-09-30,2550.154320987654,2037.4869
1967-10-31,1630.077658303465,982.8626
1967-11-30,841.0493827160494,585.01447
1967-12-31,386.05137395459974,277.4861
1968-01-31,286.9997013142174,244.67523
1968-02-29,253.9910600255428,261.33157
1968-03-31,317.9883512544803,327.85022
1968-04-30,496.9135802469136,413.1519
1968-05-31,1189.889486260454,626.408
1968-06-30,1130.0154320987654,774.1275
1968-07-31,1440.0388291517324,786.9346
1968-08-31,1020.0119474313022,910.1643
1968-09-30,2069.830247,1328.7218
1968-10-31,1319.8178016726404,1029.1096
1968-11-30,677.8549383,568.056
1968-12-31,378.9575866188769,275.14822
1969-01-31,261.9847670250896,202.76718
1969-02-28,251.98412700000003,192.25522
1969-03-31,294.9895459976105,240.4879
1969-04-30,375.0000000000001,385.0877
1969-05-31,548.8351254480286,494.72208
1969-06-30,689.8148148148148,809.9541
1969-07-31,1149.9402628434889,1236.298
1969-08-31,881.8697729988053,1083.2784
1969-09-30,768.1327160493827,921.02167
1969-10-31,896.057347670251,934.80194
1969-11-30,437.11419753086426,538.305
1969-12-31,218.0032855436081,339.67783
1970-01-31,183.99044205495807,245.96141
1970-02-28,159.01951058201058,217.16124
1970-03-31,200.00746714456392,226.8209
1970-04-30,380.0154320987655,422.9107
1970-05-31,594.0113500597372,583.2181
1970-06-30,714.1203703703704,822.2631
1970-07-31,731.0334528076463,998.91986
1970-08-31,1229.8387096774193,1324.6337
1970-09-30,599.9228395061729,920.0174
1970-10-31,645.1612903225806,794.0285
1970-11-30,372.9938271604938,415.71912
1970-12-31,186.00657108721623,246.21368
1971-01-31,183.24372759856632,186.46707
1971-02-28,156.00198412698413,190.52199
1971-03-31,201.0155316606929,232.53297
1971-04-30,315.0077160493827,381.52197
1971-05-31,477.8972520908004,560.5384
1971-06-30,618.8271604938271,696.91113
1971-07-31,714.979092,855.68225
1971-08-31,614.9193548387096,692.6945
1971-09-30,1369.9845679012346,1470.5393
1971-10-31,1870.1463560334528,1248.2932
1971-11-30,755.0154320987655,587.12036
1971-12-31,303.0167264038232,253.37854
1972-01-31,220.99014336917563,214.7666
1972-02-29,212.00510855683268,231.2697
1972-03-31,280.98864994026286,271.7971
1972-04-30,440.2006172839505,376.51636
1972-05-31,742.9808841099162,600.6932
1972-06-30,1060.1851851851852,795.0499
1972-07-31,1929.8835125448031,1449.3533
1972-08-31,1130.152329749104,933.61755
1972-09-30,814.8148148148148,975.40936
1972-10-31,652.6284348864993,839.0043
1972-11-30,378.00925925925924,440.608
1972-12-31,215.01642771804063,211.84154
1973-01-31,174.99253285543608,162.40826
1973-02-28,178.98478835978835,131.53403
1973-03-31,219.01135005973723,162.69914
1973-04-30,279.0123456790124,269.18155
