date,flow,R-MLR
1960-01-31,156.99671445639189,159.96265618493862
1960-02-29,178.00127713920818,166.175467104275
1960-03-31,225.9931302270012,205.31404822112168
1960-04-30,269.9845679012346,258.0864602750169
1960-05-31,298.0137395459976,301.49293575363913
1960-06-30,609.9537037037037,613.4251577349366
1960-07-31,1199.9701314217443,1156.844870585731
1960-08-31,1410.1702508960575,1291.0479694683133
1960-09-30,1150.0771604938273,1084.4471835257016
1960-10-31,900.1642771804062,854.1166158841787
1960-11-30,550.1543209876543,515.3951929764527
1960-12-31,280.98864994026286,247.77313209173187
1961-01-31,219.0113500597372,214.72369078645215
1961-02-28,214.9884259259259,206.58941838224888
1961-03-31,279.00985663082434,279.79291169006757
1961-04-30,525.0771604938271,526.5530751440849
1961-05-31,701.9115890083632,697.9319749814977
1961-06-30,849.9228395061729,851.5263932763767
1961-07-31,1749.9253285543607,1745.3331720076296
1961-08-31,1210.0507765830346,1166.8715388930505
1961-09-30,1260.0308641975307,1136.2516364468518
1961-10-31,1479.9880525686976,1383.987471855389
1961-11-30,880.0154320987655,760.0716090809616
1961-12-31,368.9889486260453,319.039605291448
1962-01-31,256.98178016726405,240.52307962336246
1962-02-28,234.99503968253967,232.2923969579036
1962-03-31,289.35185185185185,249.81702986207003
1962-04-30,444.0586419753087,455.2223284295783
1962-05-31,617.9062126642772,636.2294007826092
1962-06-30,1160.108024691358,1125.890745862622
1962-07-31,1490.068697729988,1466.5146648464022
1962-08-31,1260.0806451612902,1177.2838482891127
1962-09-30,755.0154320987655,704.2821982428001
1962-10-31,778.0764635603346,734.1822373233447
1962-11-30,511.1882716049383,470.7636643059232
1962-12-31,275.98566308243727,234.3528222034736
1963-01-31,176.00059737156514,175.46542795240933
1963-02-28,188.98809523809524,174.4393471984323
1963-03-31,247.98387096774192,227.1027697351042
1963-04-30,331.01851851851853,323.1608230598154
1963-05-31,523.8201911589008,505.11143060997114
1963-06-30,714.8919753,711.4551224934207
1963-07-31,1609.9163679808842,1580.278786025603
1963-08-31,1310.110513739546,1218.5474447846195
1963-09-30,2369.984567901234,2334.129986300524
1963-10-31,1870.1463560334528,1631.9546919171723
1963-11-30,694.8302469135804,599.0793092336951
1963-12-31,340.0164277180406,306.62196223392175
1964-01-31,238.98596176821985,240.52307962336246
1964-02-29,253.9910600255428,232.25706235568376
1964-03-31,318.9964157706093,291.15775457532527
1964-04-30,486.1111111111111,459.6057821382909
