Model,ME,MAE,MSE,MLE,MALE,MSLE,MAPE,MDE,MDAE,MDSE,ED,NED,RMSE,RMSLE,NRMSE_RANGE,NRMSE_MEAN,NRMSE_IQR,IRMSE,MASE,R_SQUARED,PEARSON_R,SPEARMAN_R,ACC,MAPD,MAAPE,SMAPE1,SMAPE2,D,D1,DMOD,DREL,DR,WATT_M,MB_R,NSE,NSE_MOD,NSE_REL,KGE_2009,KGE_2012,LM_INDEX,D1_P,VE,SA,SC,SID,SGA,H1_MHE,H1_MAHE,H1_RMSHE,H2_MHE,H2_MAHE,H2_RMSHE,H3_MHE,H3_MAHE,H3_RMSHE,H4_MHE,H4_MAHE,H4_RMSHE,H5_MHE,H5_MAHE,H5_RMSHE,H6_MHE,H6_MAHE,H6_RMSHE,H7_MHE,H7_MAHE,H7_RMSHE,H8_MHE,H8_MAHE,H8_RMSHE,H10_MHE,H10_MAHE,H10_RMSHE,G_MEAN_DIFF,MEAN_VAR,PPMAE,LPMAE
CER-XGB,3.682435722222224,75.37897838888888,12846.134827078462,-0.03625462968546489,0.13355237622566515,0.03149942240423564,12.948606143937463,-11.202368333333325,45.07162000000001,2031.6069807588456,1241.586154581878,1.997698267068863,113.3407906584318,0.17748076629380333,0.05692656487113601,0.18482239028947012,0.2303674606878695,0.229805177250791,0.17658021670264723,0.9367291585142825,0.9678476938621502,0.9675661790113508,0.9597822964132992,0.1229188792709055,0.12697627944027917,6.654241136669675,13.30848227333935,0.9788363300445836,0.8805909187605001,0.8805909187605001,0.9823111258834943,0.8716183876669322,0.8167291588395236,0.8228467354351036,0.9036760589697314,0.7432367753338645,0.9194911813083692,0.8470879048159794,0.8537823878939803,0.7432367753338645,0.8805909187605001,0.8770811207290945,0.1489521564201265,0.25426794513911666,1.4309957568577016,0.28621750588190703,-0.02126465477137791,0.1294860614393746,0.1689698381939941,-0.05323309640874029,0.1416370375736232,0.19783455749830411,-0.03599446098122922,0.1330848227333935,0.17626840688199316,-0.036613283960131394,0.1343117033548684,0.1787972081363755,-0.026616548204370146,0.0708185187868116,0.09891727874915204,-0.03599446098122923,0.13308482273339353,0.1762684068819932,-0.03577438213674912,0.21783959782642642,0.28426474006400826,-0.014540518124187433,0.08854102939508354,0.11553956653026762,-0.03625462968546489,0.13355237622566515,0.17748076629380333,0.9589298412353486,0.030185024230605442,186.40450555555552,24.484612222222207
CER-LSTM,-2.883631388888882,79.58008683333333,13343.855595335008,-0.049523454886894774,0.1460084381030357,0.03603424789089031,14.014823281074674,-18.180924999999988,48.49724333333333,2353.221572860055,1265.4100803455776,2.081675135188441,115.51560758328291,0.18982688927254301,0.058018888791201866,0.18836881748622689,0.23478782029122544,0.23421474759170735,0.1864215896605576,0.9285047596739107,0.9635895182461827,0.9607391026704685,0.9555596055941312,0.12976953647963688,0.1372165394128174,7.272075062373679,14.544150124747357,0.9776175452418708,0.8732293563260336,0.8732293563260336,0.9797053923055744,0.8644632750982623,0.8115962406873846,0.8123423307592772,0.8999440083119705,0.7289265501965245,0.9092772834468583,0.8626001826318046,0.8574374986768122,0.7289265501965245,0.8732293563260336,0.8702304635203632,0.1560654695266222,0.27067916948978993,1.590905071448431,0.30001221483404206,-0.03249464078216654,0.14014823281074673,0.17936821410516643,-0.06909361734492965,0.15657620756219098,0.21348166851864567,-0.04920256860275427,0.14544150124747357,0.1884510012225386,-0.04998821861689749,0.1468875623748052,0.19130858988232363,-0.03454680867246482,0.07828810378109549,0.10674083425932283,-0.04920256860275426,0.14544150124747357,0.18845100122253855,-0.05836876707083608,0.2517424215013702,0.3221916370517967,-0.021188109073413508,0.09138356269720443,0.11695692561246594,-0.049523454886894774,0.1460084381030357,0.18982688927254301,0.9453809050719514,0.03358167530695601,137.3994311111111,21.378880555555543
CER-BiLSTM,8.932103055555547,77.86842394444444,13590.053231578933,-0.02013848381469534,0.13627524045998238,0.03281129208603174,13.42801194392032,-5.8788550000000726,47.54138333333334,2260.1893003968235,1277.0303002628682,2.022078395920218,116.57638367859475,0.18113887513737006,0.05855167437398029,0.1900986022561982,0.23694386926543648,0.23636553405781893,0.18241190671841748,0.9272009000353484,0.9629127167274031,0.9599161031319187,0.9548884440880082,0.12697836461065287,0.13137111392545914,6.788356958191758,13.576713916383516,0.977188124657425,0.8759373889438815,0.8759373889438815,0.9802179000402097,0.8673784915968533,0.8098129753202891,0.8163338366506318,0.8980979490175154,0.7347569831937066,0.9116321421027187,0.862360403750133,0.8778218083106819,0.7347569831937066,0.8759373889438815,0.8730216353893472,0.1531996868724403,0.2731989103404047,1.5183613750948786,0.3011889195771071,-0.004209245689341332,0.1342801194392032,0.1770250088649127,-0.037516144634019824,0.14247167295207097,0.1983190633444896,-0.01992796075473052,0.13576713916383515,0.17983919944243523,-0.02038758823113363,0.1370585933171768,0.18250177792196573,-0.018758072317009912,0.07123583647603547,0.0991595316722448,-0.01992796075473052,0.13576713916383515,0.1798391994424352,-0.007695603134653297,0.24549921395528057,0.32364806278296027,-0.0027580146713502758,0.08798406337310795,0.1159917020005884,-0.02013848381469534,0.13627524045998238,0.18113887513737006,0.9757583271623373,0.032405733555677003,148.63523444444448,32.9293211111111
CER-CNN,89.44672722222222,127.03347488888889,32459.96698485588,0.09748430125728233,0.18627900133406758,0.05192946631781089,20.58689601483557,48.61525166666665,76.65374999999995,5876.483287738592,1973.6251007176377,2.284920822577713,180.16649795357594,0.22788037721096324,0.0904904560289181,0.293793634299,0.3661920690113332,0.3652982633732463,0.2975842735443174,0.8913368859979798,0.9441063954862183,0.9448763942650009,0.9362388421905001,0.20715075604596703,0.19725203439886813,9.261621395295178,18.523242790590356,0.9498919731228271,0.8084252214368788,0.8084252214368788,0.9599521801383888,0.7836430968542842,0.7203193854026854,0.7209691867297612,0.7566060151335957,0.5672861937085685,0.8054723151397924,0.7322289920806258,0.8317534194591989,0.5672861937085685,0.8084252214368788,0.792849243954033,0.1771870227315364,0.33592317582920794,1.9330144220370018,0.32065401490482154,0.12602161177028492,0.20586896014835568,0.2626504626444218,0.07330760474117005,0.1734478684216677,0.20840190039995785,0.09661673043394382,0.18523242790590355,0.22593068714402348,0.09812287901062153,0.18742357228352702,0.22959531142668152,0.03665380237058503,0.08672393421083385,0.10420095019997892,0.09661673043394382,0.18523242790590355,0.22593068714402348,0.18666641724091376,0.30493834090977145,0.38904454688194345,0.07238516724755503,0.11824844089902944,0.15086299404597114,0.09748430125728233,0.18627900133406758,0.22788037721096324,1.0949151642140236,0.042426277326190316,226.7097166666666,50.61470888888888
CER-MLR,5.60732051615427,78.5638867912948,13378.37898768813,-0.02928880464893042,0.1406108440809318,0.03410643148254966,13.717440347795014,-3.845494871456836,46.38528342174135,2151.701697554828,1267.0459654339995,2.0274238206758146,115.66494277735207,0.18467926652049943,0.05809389391127678,0.18861233517621176,0.23509134710843915,0.23451753355732027,0.18404107419760393,0.9302767830371192,0.9645085707432152,0.9608536975429248,0.9564709993203553,0.12811244092127053,0.13426863476643405,7.003735672769466,14.007471345538931,0.9777035730996076,0.8752043638676009,0.8752043638676009,0.9801657850807208,0.8661940149230549,0.811954004871731,0.8150646618706462,0.8996851421818892,0.7323880298461098,0.9107629909289937,0.8565027157114685,0.8664524747828214,0.7323880298461098,0.8752043638676009,0.8718875590787295,0.15257277929415847,0.2672204312057458,1.5366610218482575,0.2949243738201766,-0.012912952846315847,0.13717440347795012,0.17789345253285546,-0.0475517726434342,0.14847706610639963,0.20494258726165643,-0.029017182426247963,0.1400747134553893,0.18330584733721753,-0.029615233438736715,0.14143602733448254,0.18611507138627534,-0.0237758863217171,0.07423853305319981,0.10247129363082821,-0.029017182426247956,0.1400747134553893,0.18330584733721753,-0.023865738527365028,0.2535259351609929,0.3287829417800932,-0.008492429737704334,0.09021515041622435,0.11699474662481579,-0.02928880464893042,0.1406108440809318,0.18467926652049943,0.9662666558869452,0.03324859740478645,162.20019569867364,29.01726692122911
