date,flow_{t+1},E-CNN
1961-01-31,173.01373954599762,263.46304
1961-02-28,167.989417989418,254.53198
1961-03-31,241.0020908004779,276.9531
1961-04-30,476.8518518518519,433.55936
1961-05-31,673.9097968936678,675.00824
1961-06-30,834.104938271605,735.2115
1961-07-31,1699.895459976105,1603.8005
1961-08-31,1099.910394265233,1188.4274
1961-09-30,1079.861111111111,1138.8263
1961-10-31,1310.110513739546,1429.6135
1961-11-30,755.0154320987655,746.5919
1961-12-31,286.9997013142174,339.33148
1962-01-31,196.01254480286727,293.92007
1962-02-28,192.00562169312167,290.81744
1962-03-31,205.01045400238948,317.31564
1962-04-30,398.1481481481481,363.9432
1962-05-31,576.836917562724,658.457
1962-06-30,1140.0462962962963,1118.3705
1962-07-31,1490.068697729988,1486.4918
1962-08-31,1239.9193548387098,1213.008
1962-09-30,694.8302469135804,743.0547
1962-10-31,732.1535244922342,790.9878
1962-11-30,456.0185185185184,509.21814
1962-12-31,214.00836320191158,314.9838
1963-01-31,141.98775388291517,256.9482
1963-02-28,137.97949735449737,287.54657
1963-03-31,212.32078853046602,311.24374
1963-04-30,283.9891975308642,344.09338
1963-05-31,467.81660692951016,447.2795
1963-06-30,675.1543209876543,612.11676
1963-07-31,1519.937275985663,1478.9
1963-08-31,1199.9701314217443,1262.8235
1963-09-30,2219.9074074074074,2204.0168
1963-10-31,1630.077658303465,1646.9583
1963-11-30,574.8456790123457,621.6395
1963-12-31,266.9877538829152,315.0338
1964-01-31,202.99432497013143,301.71762
1964-02-29,191.01213282247764,267.2475
1964-03-31,251.00806451612902,304.62894
1964-04-30,405.0925925925926,347.8996
1964-05-31,585.0507765830347,535.8616
1964-06-30,623.8425925925927,626.656
1964-07-31,1810.0358422939069,1737.3522
1964-08-31,1410.1702508960575,1395.3186
1964-09-30,1410.1080246913575,1415.7585
1964-10-31,1249.9999999999998,1249.2964
1964-11-30,584.8765432098766,609.6571
1964-12-31,275.01493428912784,333.58725
1965-01-31,197.99133811230587,264.84985
1965-02-28,207.010582010582,264.8224
1965-03-31,227.0011947431302,329.45328
1965-04-30,349.99999999999994,371.916
1965-05-31,586.9175627240144,561.51575
1965-06-30,866.1265432098766,951.0596
1965-07-31,1500.1493428912784,1511.8893
1965-08-31,794.1308243727599,923.14526
1965-09-30,996.141975308642,1024.5144
1965-10-31,823.9994026284348,816.2571
1965-11-30,417.0524691358024,435.87238
1965-12-31,213.00029868578244,295.9914
1966-01-31,173.98446833930706,251.05594
1966-02-28,166.9973544973545,258.44135
1966-03-31,227.0011947431302,282.29813
1966-04-30,310.9953703703704,351.71936
1966-05-31,368.01821983273584,461.1539
1966-06-30,447.91666666666663,504.21457
1966-07-31,1049.8805256869773,1164.97
1966-08-31,1749.925328554361,1714.5687
1966-09-30,2010.030864197531,1994.153
1966-10-31,1440.0388291517324,1327.3175
1966-11-30,601.8518518518518,613.26935
1966-12-31,285.9916367980884,299.76346
1967-01-31,206.0185185185185,265.83127
1967-02-28,192.9976851851852,267.97256
1967-03-31,249.77598566308242,320.98447
1967-04-30,347.9938271604938,398.1866
1967-05-31,1109.9910394265232,1029.7109
1967-06-30,1170.138888888889,1142.8665
1967-07-31,1969.832735961768,2011.7789
1967-08-31,1649.8655913978494,1528.5383
1967-09-30,2359.953703703704,2504.987
1967-10-31,1540.0985663082438,1425.9274
1967-11-30,812.1141975308642,717.6144
1967-12-31,353.0092592592592,339.57196
1968-01-31,255.0029868578256,296.24347
1968-02-29,229.00702426564496,307.71814
1968-03-31,307.0116487455198,337.8134
1968-04-30,500.0,438.50012
1968-05-31,1189.889486260454,1140.3865
1968-06-30,1160.108024691358,1126.3458
1968-07-31,1419.8775388291515,1481.5596
1968-08-31,974.8357228195937,970.85754
1968-09-30,2040.123456790124,2061.8425
1968-10-31,1220.131421744325,1203.5109
1968-11-30,562.8858024691358,646.50714
1968-12-31,315.00149342891274,324.41916
1969-01-31,234.99103942652332,279.74054
1969-02-28,209.9867724867725,287.9501
1969-03-31,252.98685782556748,325.722
1969-04-30,331.01851851851853,385.87558
1969-05-31,510.0059737156512,559.5917
1969-06-30,650.0771604938273,675.2431
1969-07-31,1130.152329749104,1137.3031
1969-08-31,793.0107526881719,926.7863
1969-09-30,709.104938271605,738.4441
1969-10-31,841.173835125448,773.55096
1969-11-30,381.0185185185185,426.28732
1969-12-31,190.0014934289128,291.35745
1970-01-31,147.9988052568698,254.81322
1970-02-28,145.99867724867724,245.085
1970-03-31,188.9934289127837,282.91888
1970-04-30,367.01388888888886,397.9234
1970-05-31,558.1690561529272,485.90054
1970-06-30,672.067901234568,674.96893
1970-07-31,726.926523297491,698.72424
1970-08-31,1180.1821983273596,1162.4329
1970-09-30,569.0586419753087,646.0034
1970-10-31,614.1726403823178,691.647
1970-11-30,348.9969135802469,397.15613
1970-12-31,177.00866188769413,284.80655
1971-01-31,139.00089605734766,256.38184
1971-02-28,135.0033068783069,238.05127
1971-03-31,201.0155316606929,294.42838
1971-04-30,335.9953703703703,351.9091
1971-05-31,486.857825567503,503.12143
1971-06-30,638.8888888888888,681.62555
1971-07-31,719.8327359617682,714.08417
1971-08-31,638.0675029868578,736.5872
1971-09-30,1329.861111111111,1347.2991
1971-10-31,1799.9551971326161,1742.2203
1971-11-30,721.0648148148149,687.06384
1971-12-31,308.9904420549582,311.42874
1972-01-31,214.00836320191158,274.0725
1972-02-29,214.00063856960412,262.5191
1972-03-31,284.98357228195937,304.00586
1972-04-30,440.97222222222223,393.51736
1972-05-31,723.9396654719235,630.0841
1972-06-30,1069.83024691358,1019.72107
1972-07-31,1910.0955794504187,1890.6599
1972-08-31,1059.9611708482676,1008.64795
1972-09-30,775.8487654320987,759.6867
1972-10-31,658.9755077658302,669.09955
1972-11-30,364.00462962962956,391.89456
1972-12-31,213.00029868578244,303.75146
1973-01-31,174.99253285543608,245.26274
1973-02-28,176.00859788359787,266.0801
1973-03-31,227.0011947431302,294.7885
1973-04-30,293.98148148148147,357.50595
1973-05-31,564.1427718040621,505.55737
1973-06-30,1050.1543209876545,980.9538
1973-07-31,919.9522102747909,924.3702
1973-08-31,897.1774193548385,922.53644
1973-09-30,1020.0617283950618,1078.8441
1973-10-31,1040.1732377538829,1048.0415
1973-11-30,535.8796296296297,590.068
1973-12-31,246.00507765830343,300.14157
1974-01-31,168.01075268817203,261.68304
1974-02-28,175.01653439153438,247.175
1974-03-31,219.98207885304657,284.8259
1974-04-30,305.0154320987654,378.19556
1974-05-31,486.857825567503,464.32828
1974-06-30,910.8796296296296,918.91595
1974-07-31,896.0573476702509,893.3857
1974-08-31,999.8506571087216,1004.67413
1974-09-30,1359.9537037037037,1431.7892
1974-10-31,956.1678614097968,982.32495
1974-11-30,589.891975308642,614.84424
1974-12-31,278.0017921146953,331.9131
1975-01-31,178.9874551971326,270.87372
1975-02-28,183.98644179894177,248.66661
1975-03-31,233.9829749103942,309.74078
1975-04-30,316.01080246913585,383.54007
1975-05-31,683.9904420549582,650.14557
1975-06-30,1140.0462962962963,1164.1866
1975-07-31,2230.0627240143367,2228.0037
1975-08-31,1829.823775388292,1718.6711
1975-09-30,1689.814814814815,1818.1595
1975-10-31,1960.1254480286736,1880.2893
1975-11-30,881.9444444444445,800.48785
1975-12-31,354.01732377538826,337.5693
1976-01-31,239.99402628434885,290.11273
1976-02-29,242.0178799489144,288.09744
1976-03-31,321.98327359617684,326.01974
1976-04-30,449.84567901234567,489.4802
1976-05-31,636.9474313022699,700.1609
1976-06-30,1170.138888888889,1098.8643
1976-07-31,1469.9074074074072,1419.0172
1976-08-31,1920.1762246117084,1776.3876
1976-09-30,2000.0,1993.2432
1976-10-31,1089.8297491039427,1082.3824
1976-11-30,523.9197530864197,539.9464
1976-12-31,289.98655913978496,317.63388
1977-01-31,214.00836320191158,285.05237
1977-02-28,204.98511904761904,264.4327
1977-03-31,293.01075268817203,333.83163
1977-04-30,606.8672839506173,590.8261
1977-05-31,860.9617682198326,824.3561
1977-06-30,966.820987654321,985.9106
1977-07-31,800.8512544802867,787.9306
1977-08-31,711.9922341696536,710.9717
1977-09-30,658.9506172839506,687.8911
1977-10-31,539.8745519713261,617.39154
1977-11-30,333.9891975308642,344.74924
1977-12-31,188.9934289127837,290.33594
1978-01-31,127.01612903225806,255.13063
1978-02-28,141.0094246031746,236.6693
1978-03-31,196.01254480286727,283.67258
1978-04-30,467.9783950617284,446.94626
1978-05-31,551.0752688172043,530.70135
1978-06-30,760.0308641975308,668.7713
1978-07-31,568.9964157706094,692.3427
1978-08-31,1070.041816009558,1074.0905
1978-09-30,1760.0308641975307,1783.7374
1978-10-31,1020.0119474313024,1047.3579
1978-11-30,523.9197530864197,616.9873
1978-12-31,256.0110513739546,300.90585
1979-01-31,193.99641577060933,269.94122
1979-02-28,178.98478835978835,250.30257
1979-03-31,220.99014336917563,284.42264
1979-04-30,390.81790123456796,386.85284
1979-05-31,402.8524492234169,456.719
1979-06-30,466.04938271604937,474.24655
1979-07-31,1109.9910394265232,1186.2882
