Model,ME,MAE,MSE,MLE,MALE,MSLE,MAPE,MDE,MDAE,MDSE,ED,NED,RMSE,RMSLE,NRMSE_RANGE,NRMSE_MEAN,NRMSE_IQR,IRMSE,MASE,R_SQUARED,PEARSON_R,SPEARMAN_R,ACC,MAPD,MAAPE,SMAPE1,SMAPE2,D,D1,DMOD,DREL,DR,WATT_M,MB_R,NSE,NSE_MOD,NSE_REL,KGE_2009,KGE_2012,LM_INDEX,D1_P,VE,SA,SC,SID,SGA,H1_MHE,H1_MAHE,H1_RMSHE,H2_MHE,H2_MAHE,H2_RMSHE,H3_MHE,H3_MAHE,H3_RMSHE,H4_MHE,H4_MAHE,H4_RMSHE,H5_MHE,H5_MAHE,H5_RMSHE,H6_MHE,H6_MAHE,H6_RMSHE,H7_MHE,H7_MAHE,H7_RMSHE,H8_MHE,H8_MAHE,H8_RMSHE,H10_MHE,H10_MAHE,H10_RMSHE,G_MEAN_DIFF,MEAN_VAR,PPMAE,LPMAE
CER-XGB,-28.11552136111111,90.8773741388889,15325.942746999282,-0.08660363529503741,0.16990721208953075,0.05371379166325306,15.42085449025388,-22.46939833333336,55.69189999999999,3103.113214088043,1356.1390524720957,2.123865467518687,123.79799169210817,0.23176236032465033,0.05960423288016763,0.18357894545497547,0.233360964546858,0.23992558639474706,0.20362664562555835,0.926013000601224,0.9622956929142018,0.9537995686060289,0.9542765621399172,0.1347612532489733,0.15017641162141931,8.423677267315215,16.84735453463043,0.9767182021505242,0.863258246334757,0.863258246334757,0.9723678669073088,0.8543732306130942,0.807884043053082,0.7968608940740982,0.8976021804186239,0.7087464612261885,0.8784685702810676,0.8725542496174418,0.8277104957587655,0.7087464612261885,0.863258246334757,0.8652387467510267,0.15946432584307113,0.2754765122904563,1.8848291226714418,0.29539873485097673,-0.06265734796400894,0.1542085449025388,0.19999623490518326,-0.11765261962139022,0.1943180404969291,0.28708910708659946,-0.08525754241043894,0.1684735453463043,0.22833556742319655,-0.08765801569996898,0.17131754585990808,0.23451070691416473,-0.05882630981069511,0.09715902024846455,0.14354455354329973,-0.08525754241043894,0.1684735453463043,0.22833556742319658,-0.12867637285854472,0.3166906494869644,0.4107226195999678,-0.041437523618939154,0.10198357302501358,0.13226459428737358,-0.08660363529503741,0.16990721208953075,0.23176236032465033,0.91206971993586,0.0462136020169372,136.65518055555546,44.66691055555554
CER-LSTM,-37.09894888888889,100.12869855555554,17549.871916355212,-0.10428359880248612,0.1904780347082305,0.06371113313289686,17.151858469364605,-31.44294500000001,70.71115333333334,5000.22977597018,1451.2010990771143,2.27411667592372,132.47592957347086,0.25241064385817186,0.06378234452261476,0.19644738268250686,0.24971900013849363,0.25674378599899683,0.2243558554691504,0.9133372533586263,0.9556867966853086,0.9435173724985597,0.9477227400462644,0.14847996029147048,0.1667064784146109,9.434375367600314,18.868750735200628,0.972973771156333,0.8489529151828843,0.8489529151828843,0.9672051943802689,0.8395484131036186,0.7932031611013982,0.775645833029566,0.882743355639962,0.6790968262072373,0.8577156701494268,0.87595316551328,0.8194835597714242,0.6790968262072373,0.8489529151828843,0.8515200397085295,0.17123141839111758,0.2988123268136189,2.177089299929889,0.3202274956034204,-0.07602186704223104,0.17151858469364606,0.21639940016407322,-0.141335365871173,0.22002914509404245,0.31556349995792454,-0.10262366392981696,0.1886875073520063,0.24842136429354922,-0.10558735291145009,0.19216390951471285,0.255565057918609,-0.0706676829355865,0.11001457254702122,0.15778174997896227,-0.10262366392981696,0.1886875073520063,0.24842136429354922,-0.17034544442760424,0.38432901839943223,0.4848953785144264,-0.049988088060273515,0.11278184092580315,0.14229316764323705,-0.10428359880248612,0.1904780347082305,0.25241064385817186,0.8952286901619794,0.05283606415369899,102.18664999999987,44.30688166666666
CER-BiLSTM,-48.93728886111111,101.56653686111113,17941.369544145102,-0.12713286348997255,0.19699223652842004,0.06938322028416312,17.35577007535836,-41.665211666666636,65.06487166666683,4233.49109950296,1467.2983150325672,2.2913728401177322,133.94539762210982,0.26340694805597503,0.06448983997212798,0.19862644383739084,0.2524889681849384,0.2595916753584211,0.22757758358229724,0.9127414866004417,0.9553750502291974,0.9489970433724491,0.9474135914772878,0.15061211798046706,0.1685224045044811,9.744198421134634,19.488396842269267,0.9719479153644888,0.8466385436055358,0.8466385436055358,0.9657611282069817,0.8372443440289687,0.7893557549312091,0.7715749582516215,0.8801276272558262,0.6744886880579375,0.853690203232988,0.8801733034301952,0.8106464091075789,0.6744886880579375,0.8466385436055358,0.849387882019533,0.17234309632085082,0.299869486961408,2.20459655143158,0.32106039777534257,-0.09692597144639556,0.17355770075358362,0.21943920428169425,-0.1682220261045666,0.23256365749596494,0.3372999621003909,-0.12508247110245224,0.19488396842269268,0.2587020246771978,-0.12874451044119015,0.1988870218491904,0.2670132106435393,-0.0841110130522833,0.11628182874798247,0.16864998105019546,-0.12508247110245224,0.19488396842269265,0.2587020246771978,-0.22575256734928945,0.4042373364297939,0.5111010290061933,-0.06695392014513515,0.11988910983734931,0.1515828496835244,-0.12713286348997255,0.19699223652842004,0.26340694805597503,0.8741683285722563,0.05322045530500313,106.56718333333338,34.81516999999999
CER-CNN,50.55702058333334,140.14606086111112,34067.102403852434,0.053540414549087825,0.22036551560724515,0.07619392204935564,23.574040211802323,36.04434500000001,102.27113833333331,10461.797695121468,2021.893243586884,2.72709541416982,184.57275639663735,0.2760324655712723,0.08886507289197754,0.27370130577952473,0.3479222552245756,0.35770957352114297,0.31402175229193213,0.8233489137302958,0.9073857579498897,0.9013711333373462,0.8998242099669738,0.20782135243791428,0.2227472598913721,10.909962525653693,21.819925051307386,0.9461347652521036,0.7935236068428992,0.7935236068428992,0.9332347739960177,0.7754224494392525,0.7096473933793517,0.692668996973359,0.772386138771597,0.5508448988785051,0.7178757141284553,0.8497873511301942,0.8798608091717642,0.5508448988785051,0.7935236068428992,0.7921786475620858,0.21591120369152403,0.43377459915717653,3.0833455092778146,0.3904533840396287,0.093669762269921,0.23574040211802322,0.30471774983335376,0.01577979591337355,0.2170101888787834,0.28221132798219206,0.05308109209141118,0.21819925051307384,0.27206304300331335,0.05390125960381186,0.22222194936496484,0.27908773953104327,0.007889897956686775,0.1085050944393917,0.14110566399109603,0.05308109209141117,0.21819925051307384,0.27206304300331335,0.2057392914539396,0.5177878338056106,0.6692919083481508,0.05006419720740631,0.12599747982044213,0.1628641853098086,0.053540414549087825,0.22036551560724515,0.2760324655712723,1.0521266279925283,0.07332734605926747,150.8700255555556,93.56070388888888
CER-MLR,-11.826286084473661,95.23392438232652,16073.68332096558,-0.04912913303427094,0.16949332563384747,0.05055544967475876,16.105777824281123,-9.361099735691994,66.92183321980627,4478.82496711301,1388.8275625562264,2.11276287160333,126.78203074949376,0.22484539060153927,0.061040939214970516,0.18800395054482966,0.2389859203571984,0.24570877650051762,0.21338825813886264,0.9176345448969171,0.9579324323233436,0.9469065732418526,0.9499496620539821,0.14122154302088633,0.15640113212151813,8.41375405008107,16.82750810016214,0.975479955328556,0.8565112217398895,0.8565112217398895,0.9697129846556406,0.847392061277656,0.8029050544731814,0.7869145117898103,0.8926062721309157,0.694784122555312,0.8673478973043252,0.8780118243498819,0.859384675697014,0.694784122555312,0.8565112217398895,0.8587784569791137,0.16110866143677102,0.29108716399765994,1.916073889865517,0.31093077348739295,-0.025460158995747963,0.1610577782428112,0.20894625207419656,-0.07707863951412462,0.18558454766653273,0.26350779196007196,-0.04827618667429956,0.16827508100162142,0.22208019288246744,-0.049745376241113304,0.17076080448398107,0.2271970081633486,-0.03853931975706231,0.09279227383326637,0.13175389598003598,-0.04827618667429956,0.16827508100162142,0.22208019288246747,-0.04863993894501914,0.30769016413680217,0.3991779055809048,-0.014952535156656115,0.09458786537156935,0.12271235935772172,-0.04912913303427094,0.16949332563384747,0.22484539060153927,0.9493631103167328,0.048141777962059665,130.48743301327696,68.3121865298746
