date,flow_{t+1},CER-CNN
1961-01-31,219.01135005973723,214.5923
1961-02-28,214.9884259259259,218.8583
1961-03-31,279.00985663082434,258.788
1961-04-30,525.0771604938271,533.45245
1961-05-31,701.9115890083632,687.33136
1961-06-30,849.9228395061729,904.74084
1961-07-31,1749.9253285543607,1761.9067
1961-08-31,1210.0507765830346,1215.0774
1961-09-30,1260.0308641975307,1322.7975
1961-10-31,1479.9880525686976,1526.0574
1961-11-30,880.0154320987656,922.31635
1961-12-31,368.9889486260453,377.95938
1962-01-31,256.98178016726405,255.0653
1962-02-28,234.99503968253967,236.53517
1962-03-31,289.35185185185185,288.88892
1962-04-30,444.0586419753087,458.5889
1962-05-31,617.9062126642772,624.7312
1962-06-30,1160.108024691358,1155.8547
1962-07-31,1490.068697729988,1553.899
1962-08-31,1260.0806451612902,1209.8636
1962-09-30,755.0154320987655,766.923
1962-10-31,778.0764635603346,792.032
1962-11-30,511.1882716049383,510.55655
1962-12-31,275.98566308243727,269.4061
1963-01-31,176.00059737156514,228.64496
1963-02-28,188.98809523809524,215.56087
1963-03-31,247.98387096774192,268.82587
1963-04-30,331.01851851851853,351.72485
1963-05-31,523.8201911589008,510.96225
1963-06-30,714.8919753,685.35925
1963-07-31,1609.9163679808842,1635.1255
1963-08-31,1310.110513739546,1272.0046
1963-09-30,2369.984567901234,2368.5305
1963-10-31,1870.1463560334528,1855.9326
1963-11-30,694.8302469135804,671.62256
1963-12-31,340.0164277180406,352.51862
1964-01-31,238.98596176821985,254.62267
1964-02-29,253.9910600255428,255.77596
1964-03-31,318.9964157706093,309.7958
1964-04-30,486.1111111111111,453.69107
1964-05-31,670.9229390681004,641.0433
1964-06-30,719.9074074074074,702.74164
1964-07-31,2000.0746714456395,2035.991
1964-08-31,1540.0985663082438,1485.361
1964-09-30,1599.9228395061727,1582.2856
1964-10-31,1369.847670250896,1374.7855
1964-11-30,652.0061728395061,640.4251
1964-12-31,332.9973118,322.65732
1965-01-31,238.98596176821985,236.97804
1965-02-28,265.54232804232805,236.8453
1965-03-31,283.0047789725209,270.30655
1965-04-30,432.87037037037044,439.12985
1965-05-31,667.9360812425329,641.4669
1965-06-30,935.1851851851852,897.31006
1965-07-31,1569.9671445639185,1576.4087
1965-08-31,838.9336917562724,815.2708
1965-09-30,1050.1543209876545,1028.6057
1965-10-31,869.9223416965351,894.56384
1965-11-30,447.91666666666663,452.25735
1965-12-31,223.0062724014337,240.89989
1966-01-31,187.0146356033453,195.58336
1966-02-28,187.00396825396825,200.64256
1966-03-31,244.9970131421744,245.35677
1966-04-30,334.99228395061726,344.5332
1966-05-31,405.09259259259267,435.24298
1966-06-30,484.18209876543216,506.48996
