YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR,VIF_XGB,VIF_BILSTM,VIF_CNN,CER-XGB,CER-LSTM,CER-BILSTM,CER-CNN,CER-MLR,CER-BiLSTM
1986-1,487,480.584115189083,487.46762000000007,489.1685033333333,495.77606,500.8249066666667,527.5355933333334,495.77606,487.46762000000007,500.8249066666667,527.5355933333334,480.584115189083,500.8249066666667
1986-2,1175,1209.538984674664,1200.2898333333333,1196.9302866666667,1198.927766666667,1191.181733333333,1218.8664166666667,1198.9277666666667,1200.2898333333333,1191.181733333333,1218.8664166666667,1209.5389846746639,1191.1817333333333
1986-3,705,704.0687770928647,706.6131,690.1113033333332,702.8213099999999,705.5750266666668,689.56637,702.8213099999999,706.6131,705.5750266666668,689.56637,704.0687770928647,705.5750266666668
1986-4,216,181.47217115351447,171.43118333333334,187.9805338152007,186.1147133333333,178.27787666666669,195.5765333333333,186.1147133333333,171.43118333333334,178.27787666666669,195.57653333333334,181.47217115351452,178.27787666666669
1987-1,377,350.9129611695612,338.9358066666667,348.8552203059155,331.53334666666666,364.1023166666666,395.39801000000006,331.53334666666666,338.9358066666667,364.1023166666666,395.39801000000006,350.9129611695612,364.10231666666664
1987-2,1284,1294.4589798142624,1286.3756,1291.3026,1299.96318,1301.1792333333333,1185.820786666667,1299.96318,1286.3756,1301.1792333333333,1185.8207866666667,1294.4589798142624,1301.1792333333333
1987-3,526,536.180872860664,559.1170033333334,528.7988799999999,495.96857666666665,536.54138,595.6253066666667,495.96857666666665,559.1170033333334,536.54138,595.6253066666667,536.180872860664,536.54138
1987-4,175,207.33719618578496,193.946,206.6515423509464,201.13657666666663,208.56147666666664,221.06465,201.13657666666666,193.946,208.56147666666664,221.06465,207.33719618578496,208.56147666666666
1988-1,355,319.08023322288847,326.78235333333333,348.6908766666667,315.78801,348.95979000000005,459.6405,315.78801,326.78235333333333,348.95979000000005,459.6405,319.08023322288847,348.95979000000005
1988-2,767,754.2567744111411,727.5098733333334,713.0060833333333,768.6047833333332,743.5042333333334,1070.8391333333332,768.6047833333332,727.5098733333334,743.5042333333334,1070.8391333333332,754.2567744111411,743.5042333333334
1988-3,919,908.6489903939809,898.1550000000001,930.9793333333332,892.50591,921.3863533333332,775.2027866666667,892.50591,898.1550000000001,921.3863533333332,775.2027866666667,908.6489903939809,921.3863533333333
1988-4,238,234.33664428031784,222.33221,236.84479481007656,239.03266,239.7973333333333,172.01342666666665,239.03266,222.33221,239.7973333333333,172.01342666666665,234.33664428031784,239.79733333333334
1989-1,559,494.6179144298972,511.6158433333333,497.97760666666665,501.3073866666667,504.4895733333333,533.5450166666667,501.3073866666667,511.6158433333333,504.4895733333333,533.5450166666667,494.61791442989716,504.48957333333334
1989-2,2141,2182.305788183221,2161.4564333333333,2107.5579666666667,2263.8523333333333,2135.2825,2020.288633333333,2263.8523333333333,2161.4564333333333,2135.2825,2020.2886333333333,2182.3057881832206,2135.2825
1989-3,1259,1246.6082500516588,1236.10008,1260.8239,1217.5245000000002,1225.009,1223.85584,1217.5245000000002,1236.10008,1225.009,1223.85584,1246.6082500516588,1225.009
1989-4,261,262.4779416160266,236.06887666666668,266.17296333333337,251.34172666666663,256.35143,176.20545333333334,251.34172666666666,236.06887666666668,256.35143,176.20545333333334,262.4779416160266,256.35143
1990-1,510,452.577457276968,442.50161333333335,466.3362866666666,463.87156,457.3324333333333,621.9065166666668,463.87156,442.50161333333335,457.3324333333333,621.9065166666668,452.577457276968,457.3324333333333
1990-2,850,798.4393129134451,783.3648666666667,797.9796200000001,806.0130866666667,810.82645,1097.4217,806.0130866666667,783.3648666666667,810.82645,1097.4216999999999,798.4393129134451,810.82645
1990-3,750,715.9501122225823,709.3309533333335,733.2638133333334,685.5733766666667,733.05788,864.0688666666666,685.5733766666667,709.3309533333335,733.05788,864.0688666666666,715.9501122225823,733.05788
1990-4,271,184.981981891847,179.50006999999997,185.5738297777343,181.04039,192.0329933333333,221.84445,181.04039,179.50006999999997,192.0329933333333,221.84445000000002,184.981981891847,192.03299333333334
1991-1,370,316.38555745910054,315.2655266666667,314.5188259683999,300.77321,321.20011666666664,385.71778666666665,300.77321,315.2655266666667,321.20011666666664,385.71778666666665,316.38555745910054,321.20011666666664
1991-2,872,878.8905202500197,830.4741700000001,845.6486333333332,938.36299,860.1807033333333,938.1135,938.36299,830.4741700000001,860.1807033333333,938.1135,878.8905202500197,860.1807033333333
1991-3,620,631.5864724956137,623.6233533333333,631.8155966666667,596.3665366666667,629.6821866666667,804.9315666666666,596.3665366666667,623.6233533333333,629.6821866666667,804.9315666666666,631.5864724956137,629.6821866666667
1991-4,223,182.5279551742026,170.35475999999997,183.60478954819,178.32341333333332,185.82479666666663,205.67364,178.32341333333332,170.35475999999997,185.82479666666663,205.67364,182.5279551742026,185.82479666666666
1992-1,381,343.6380085900182,350.4466433333334,347.6606249394677,353.30769333333336,353.8973766666666,422.50582,353.30769333333336,350.4466433333334,353.8973766666666,422.50582,343.6380085900182,353.8973766666666
1992-2,1190,1240.054156645005,1219.2829466666665,1219.0854533333334,1223.1527666666666,1239.14798,1452.5207666666668,1223.1527666666666,1219.2829466666665,1239.14798,1452.5207666666668,1240.054156645005,1239.14798
1992-3,871,873.2284721411993,869.0294766666666,869.0384066666667,804.8474433333334,878.4145199999999,925.8212733333334,804.8474433333334,869.0294766666666,878.4145199999999,925.8212733333334,873.2284721411993,878.4145199999999
1992-4,206,206.5397391869148,193.8737033333333,211.20917200384133,197.14744333333337,206.59365,206.15952666666664,197.14744333333337,193.87370333333334,206.59365,206.15952666666666,206.53973918691474,206.59365
