date,flow,CER-BiLSTM
1961-01-31,173.01373954599762,177.4545
1961-02-28,167.989417989418,179.71573
1961-03-31,241.0020908004779,243.54958
1961-04-30,476.8518518518519,463.41135
1961-05-31,673.9097968936678,631.96063
1961-06-30,834.104938271605,802.07135
1961-07-31,1699.895459976105,1640.4226
1961-08-31,1099.910394265233,1132.4218
1961-09-30,1079.861111111111,1062.6803
1961-10-31,1310.110513739546,1307.6514
1961-11-30,755.0154320987655,727.26685
1961-12-31,286.9997013142174,292.83603
1962-01-31,196.01254480286727,194.69351
1962-02-28,192.00562169312167,194.18718
1962-03-31,205.01045400238948,213.9541
1962-04-30,398.1481481481481,402.14795
1962-05-31,576.836917562724,590.894
1962-06-30,1140.0462962962963,1078.9634
1962-07-31,1490.068697729988,1417.6335
1962-08-31,1239.9193548387098,1156.624
1962-09-30,694.8302469135804,702.15643
1962-10-31,732.1535244922342,713.4916
1962-11-30,456.0185185185185,472.0974
1962-12-31,214.00836320191164,217.87592
1963-01-31,141.98775388291517,141.30289
1963-02-28,137.97949735449737,140.66344
1963-03-31,212.320788530466,194.39372
1963-04-30,283.9891975308642,304.88852
1963-05-31,467.8166069295101,481.71194
1963-06-30,675.1543209876543,687.8517
1963-07-31,1519.937275985663,1524.2101
1963-08-31,1199.9701314217443,1202.2628
1963-09-30,2219.9074074074074,2217.529
1963-10-31,1630.077658303465,1594.147
1963-11-30,574.8456790123457,601.65076
1963-12-31,266.9877538829152,265.5087
1964-01-31,202.99432497013143,193.72849
1964-02-29,191.01213282247764,206.39494
1964-03-31,251.00806451612905,260.90756
1964-04-30,405.0925925925926,409.9244
1964-05-31,585.0507765830347,586.21155
1964-06-30,623.8425925925927,616.10364
1964-07-31,1810.0358422939066,1821.0016
1964-08-31,1410.1702508960575,1378.8562
1964-09-30,1410.1080246913575,1375.9988
1964-10-31,1249.9999999999998,1227.2894
1964-11-30,584.8765432098766,603.25793
1964-12-31,275.01493428912784,281.63403
1965-01-31,197.99133811230587,203.10187
1965-02-28,207.010582010582,210.83257
1965-03-31,227.00119474313024,234.64359
1965-04-30,349.99999999999994,365.51843
1965-05-31,586.9175627240144,593.8106
1965-06-30,866.1265432098766,853.0923
1965-07-31,1500.1493428912784,1473.6014
1965-08-31,794.1308243727599,793.2007
1965-09-30,996.141975308642,990.4646
1965-10-31,823.9994026284348,853.5622
1965-11-30,417.0524691358025,431.70294
1965-12-31,213.0002986857825,201.86205
1966-01-31,173.98446833930706,183.67683
1966-02-28,166.9973544973545,182.33876
1966-03-31,227.00119474313024,244.5948
1966-04-30,310.9953703703704,325.54395
1966-05-31,368.0182198327359,375.47653
1966-06-30,447.91666666666674,460.4107
1966-07-31,1049.8805256869773,1071.8593
1966-08-31,1749.9253285543605,1747.8662
1966-09-30,2010.030864197531,2055.0325
1966-10-31,1440.0388291517324,1418.6682
1966-11-30,601.8518518518518,603.7364
1966-12-31,285.9916367980884,304.91357
1967-01-31,206.0185185185185,215.85968
1967-02-28,192.9976851851852,202.93864
1967-03-31,249.7759856630824,261.81583
1967-04-30,347.9938271604938,368.29547
1967-05-31,1109.9910394265232,1081.0034
1967-06-30,1170.138888888889,1140.6545
1967-07-31,1969.8327359617683,1991.581
1967-08-31,1649.8655913978494,1610.4664
1967-09-30,2359.953703703704,2344.49
1967-10-31,1540.0985663082438,1544.7526
1967-11-30,812.1141975308642,746.12866
1967-12-31,353.00925925925924,327.85596
1968-01-31,255.0029868578256,243.30676
1968-02-29,229.00702426564496,216.66864
