date,flow,CER-MLR
1960-01-31,156.99671445639189,160.2096008330957
1960-02-29,178.00127713920818,153.44858998984859
1960-03-31,225.9931302270012,196.60473952628735
1960-04-30,269.9845679012346,243.42112958558477
1960-05-31,298.0137395459976,303.971238299536
1960-06-30,609.9537037037037,601.8229185716643
1960-07-31,1199.9701314217443,1130.7685315390622
1960-08-31,1410.1702508960575,1276.329881326022
1960-09-30,1150.0771604938273,1076.1920302011797
1960-10-31,900.1642771804062,853.5641267975834
1960-11-30,550.1543209876543,516.8642781990566
1960-12-31,280.98864994026286,253.11676446077695
1961-01-31,219.0113500597372,209.93890975113675
1961-02-28,214.9884259259259,194.07795995896964
1961-03-31,279.00985663082434,254.70790965993174
1961-04-30,525.0771604938271,477.60017570700705
1961-05-31,701.9115890083632,678.7426738713026
1961-06-30,849.9228395061729,823.7079245319616
1961-07-31,1749.9253285543607,1699.7655484036597
1961-08-31,1210.0507765830346,1162.5528000156671
1961-09-30,1260.0308641975307,1148.029455252772
1961-10-31,1479.9880525686976,1389.066055384707
1961-11-30,880.0154320987655,767.8826478217791
1961-12-31,368.9889486260453,334.6010099325263
1962-01-31,256.98178016726405,239.4079480157767
1962-02-28,234.99503968253967,225.85680639376574
1962-03-31,289.35185185185185,228.35107039936688
1962-04-30,444.0586419753087,423.606947222697
1962-05-31,617.9062126642772,625.7035250113905
1962-06-30,1160.108024691358,1100.4145398763626
1962-07-31,1490.068697729988,1440.5973820530196
1962-08-31,1260.0806451612902,1213.3034870420884
1962-09-30,755.0154320987655,753.3749179683883
1962-10-31,778.0764635603346,766.110183470415
1962-11-30,511.1882716049383,497.7808393159719
1962-12-31,275.98566308243727,254.41911327235962
1963-01-31,176.00059737156514,176.63911357409137
1963-02-28,188.98809523809524,168.21450778780363
1963-03-31,247.98387096774192,224.40766046401245
1963-04-30,331.01851851851853,316.6766951242586
1963-05-31,523.8201911589008,508.5590384346655
1963-06-30,714.8919753,712.0924182782431
1963-07-31,1609.9163679808842,1572.5638309461058
