date,flow,CER-MLR
1960-01-31,123.99193548387096,133.49748690818225
1960-02-29,135.01756066411238,141.6795549194534
1960-03-31,182.9823775388292,184.2611216640703
1960-04-30,220.98765432098764,231.93604256935782
1960-05-31,252.01612903225808,281.2937777697439
1960-06-30,574.074074074074,588.4827058416363
1960-07-31,1180.1821983273596,1107.7292500976012
1960-08-31,1279.868578255675,1235.827030180096
1960-09-30,1050.1543209876545,1044.485471967908
1960-10-31,819.1457586618877,808.7880936673248
1960-11-30,486.88271604938274,487.36067175430827
1960-12-31,219.0113500597372,225.08631694852858
1961-01-31,173.01373954599762,186.5429639814248
1961-02-28,167.989417989418,176.0331458115
1961-03-31,241.0020908004779,244.7587825798218
1961-04-30,476.8518518518519,455.23429642102644
1961-05-31,673.9097968936678,653.7164974988843
1961-06-30,834.104938271605,811.7541425883028
1961-07-31,1699.895459976105,1663.44096055623
1961-08-31,1099.910394265233,1124.045183435887
1961-09-30,1079.861111111111,1087.971117689483
1961-10-31,1310.110513739546,1314.8233366994632
1961-11-30,755.0154320987655,718.9159946577989
1961-12-31,286.9997013142174,285.950392908925
1962-01-31,196.01254480286727,203.13531832125003
1962-02-28,192.00562169312167,197.5006851042081
1962-03-31,205.01045400238948,212.42832560910426
1962-04-30,398.14814814814815,399.7250618520219
1962-05-31,576.836917562724,597.4330609444322
1962-06-30,1140.0462962962963,1067.286169451523
1962-07-31,1490.068697729988,1402.6458123375735
1962-08-31,1239.9193548387098,1147.2659742865112
1962-09-30,694.8302469135804,695.3543762519325
1962-10-31,732.1535244922342,710.6164395144331
1962-11-30,456.0185185185185,450.84516480315006
1962-12-31,214.0083632019116,210.89247585036827
1963-01-31,141.98775388291517,142.41142313602097
1963-02-28,137.97949735449737,146.5742433589138
1963-03-31,212.320788530466,203.14657004484633
1963-04-30,283.9891975308642,295.89363627540075
1963-05-31,467.81660692951016,481.7089591384156
1963-06-30,675.1543209876543,679.2234726084806
1963-07-31,1519.937275985663,1514.2900358885008
1963-08-31,1199.9701314217443,1188.550974162984
1963-09-30,2219.9074074074074,2242.2154341475684
1963-10-31,1630.077658303465,1575.2154891386224
1963-11-30,574.8456790123457,581.5403261605196
1963-12-31,266.9877538829152,286.5269636333206
1964-01-31,202.99432497013143,215.4240901392268
1964-02-29,191.01213282247764,209.30987041291317
1964-03-31,251.00806451612905,264.57230465387505
1964-04-30,405.0925925925926,422.9724257597996
1964-05-31,585.0507765830347,595.5468315948149
1964-06-30,623.8425925925927,616.7535169364652
1964-07-31,1810.0358422939069,1848.772398795485
1964-08-31,1410.1702508960575,1354.4718631766727
1964-09-30,1410.1080246913575,1400.0736536967397
1964-10-31,1249.9999999999998,1205.3124136779268
1964-11-30,584.8765432098766,580.7087706358787
1964-12-31,275.01493428912784,284.3211590042645
1965-01-31,197.99133811230587,207.73929644133824
1965-02-28,207.010582010582,213.82770306291755
1965-03-31,227.0011947431302,229.4969027299944
1965-04-30,349.99999999999994,365.1621128966396
1965-05-31,586.9175627240144,596.8678163730558
1965-06-30,866.1265432098766,852.2056437272788
1965-07-31,1500.1493428912784,1478.1401599933095
1965-08-31,794.1308243727599,770.7903393504329
1965-09-30,996.141975308642,1008.1048727326662
1965-10-31,823.9994026284348,821.8237596692722
1965-11-30,417.0524691358025,409.2995504318356
1965-12-31,213.00029868578247,196.76513770938726
1966-01-31,173.98446833930706,196.6585827523773
1966-02-28,166.9973544973545,183.56779117296628
1966-03-31,227.0011947431302,251.06886698234555
1966-04-30,310.9953703703704,327.2021736459576
1966-05-31,368.0182198327359,378.2445068705688
1966-06-30,447.9166666666667,463.81500636222273
1966-07-31,1049.8805256869773,1087.2006630289352
1966-08-31,1749.9253285543607,1737.6122314303286
1966-09-30,2010.030864197531,2030.9931565825664
1966-10-31,1440.0388291517324,1382.967313206238
1966-11-30,601.8518518518518,601.0660748620585
1966-12-31,285.9916367980884,300.00773762248804
1967-01-31,206.0185185185185,216.90758746945673
1967-02-28,192.9976851851852,200.47392076668245
1967-03-31,249.7759856630824,263.7987518420228
1967-04-30,347.9938271604938,373.29751046976656
1967-05-31,1109.9910394265232,1083.952600478644
1967-06-30,1170.138888888889,1144.0201521150243
1967-07-31,1969.8327359617683,2035.6965290472638
1967-08-31,1649.8655913978494,1605.6700261304748
1967-09-30,2359.953703703704,2416.5501671001853
1967-10-31,1540.0985663082438,1524.9953704692023
1967-11-30,812.1141975308642,743.4763197135624
1967-12-31,353.00925925925924,327.1170347481359
1968-01-31,255.0029868578256,257.7049243368945
1968-02-29,229.00702426564496,223.20803846153586
1968-03-31,307.0116487455198,307.0509726535637
1968-04-30,500.0,501.8782871745724
1968-05-31,1189.889486260454,1128.0842699927246
1968-06-30,1160.108024691358,1125.290451869836
1968-07-31,1419.8775388291515,1347.5444301710168
1968-08-31,974.8357228195938,954.044175759973
1968-09-30,2040.123456790124,2055.6088514217618
1968-10-31,1220.131421744325,1158.882167011051
1968-11-30,562.8858024691358,548.3745807709477
1968-12-31,315.00149342891274,308.6370010211369
1969-01-31,234.9910394265233,236.645568144598
1969-02-28,209.98677248677248,217.89476743772562
1969-03-31,252.9868578255675,267.7826016337216
1969-04-30,331.01851851851853,340.7729735045592
1969-05-31,510.0059737156511,494.0124584394153
1969-06-30,650.0771604938273,667.5784184064953
1969-07-31,1130.152329749104,1132.670780797181
1969-08-31,793.0107526881719,799.8728617632838
1969-09-30,709.104938271605,734.754909267129
1969-10-31,841.173835125448,813.1270746329966
1969-11-30,381.0185185185185,386.3390946182936
1969-12-31,190.0014934289128,188.4064158051051
1970-01-31,147.9988052568698,149.67335324065027
1970-02-28,145.99867724867724,151.17465025638674
1970-03-31,188.9934289127837,203.3026050256834
1970-04-30,367.0138888888889,359.51490879438796
1970-05-31,558.1690561529272,542.1657380425353
1970-06-30,672.067901234568,665.48068851054
1970-07-31,726.926523297491,752.4256429434414
1970-08-31,1180.1821983273596,1153.8637016128428
1970-09-30,569.0586419753087,589.929014087999
1970-10-31,614.1726403823178,623.4771890120867
1970-11-30,348.9969135802469,362.33418703308
