YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR,VIF_XGB,VIF_BILSTM,VIF_CNN,CER-XGB,CER-LSTM,CER-BILSTM,CER-CNN,CER-MLR,CER-BiLSTM
1986-1,469,506.5874779554933,486.6381733333333,447.49965,497.3476533333333,484.01622,604.42868,497.3476533333333,486.6381733333333,484.01622,604.42868,506.58747795549334,484.01622
1986-2,1156,1270.50828641288,1230.0837833333333,1221.5094766666666,1267.5859466666666,1221.2963333333337,1219.6793,1267.5859466666666,1230.0837833333333,1221.2963333333337,1219.6793,1270.50828641288,1221.2963333333335
1986-3,696,763.4633178580403,745.7830466666666,709.4442166666668,749.46034,721.1421799999999,742.8983666666667,749.46034,745.7830466666666,721.1421799999999,742.8983666666667,763.4633178580403,721.1421799999999
1986-4,217,201.4767058283081,184.62356666666665,213.4185044784001,196.7974133333333,191.27398666666667,210.06104,196.79741333333334,184.62356666666665,191.27398666666667,210.06104000000002,201.4767058283081,191.27398666666667
1987-1,359,375.4654108272107,349.41927000000004,320.2322439801575,374.24567666666667,349.68074666666666,439.5594733333334,374.24567666666667,349.41927000000004,349.68074666666666,439.5594733333334,375.4654108272107,349.68074666666666
1987-2,1292,1355.1440145073273,1312.3146333333334,1329.1276,1339.9989666666668,1316.2008666666668,1156.413633333333,1339.9989666666668,1312.3146333333334,1316.2008666666668,1156.4136333333333,1355.1440145073273,1316.2008666666668
1987-3,520,582.96097019391,577.8499566666667,522.47058,538.5602066666667,556.4769366666667,625.3671766666666,538.5602066666667,577.8499566666667,556.4769366666667,625.3671766666666,582.96097019391,556.4769366666667
1987-4,156,236.1393014413427,206.9092833333333,220.23935051988173,214.6476733333333,198.7391533333333,253.3206033333333,214.6476733333333,206.90928333333332,198.7391533333333,253.32060333333334,236.1393014413427,198.73915333333335
1988-1,348,339.05406616061515,340.99520333333334,327.9571344173895,341.6869766666667,328.31368,466.00166999999993,341.6869766666667,340.99520333333334,328.31368,466.00166999999993,339.05406616061515,328.31368
1988-2,755,803.3355265893839,754.7142166666666,753.8951999999999,801.3068133333333,763.5008333333334,1040.4289,801.3068133333333,754.7142166666666,763.5008333333334,1040.4289,803.3355265893839,763.5008333333334
1988-3,901,981.9545899327544,944.6176333333332,941.80004,913.9182566666668,927.5650466666668,1212.255,913.9182566666667,944.6176333333333,927.5650466666668,1212.2549999999999,981.9545899327545,927.5650466666667
1988-4,184,273.66780263819186,242.9128,263.3809543212324,238.4567933333333,227.7697933333333,305.24916,238.4567933333333,242.91279999999998,227.7697933333333,305.24916,273.66780263819186,227.7697933333333
1989-1,536,526.594635896963,496.7673133333333,533.2334099999999,504.6431566666667,506.14724666666666,546.0583666666666,504.6431566666667,496.76731333333333,506.14724666666666,546.0583666666666,526.594635896963,506.14724666666666
1989-2,2212,2274.753898840201,2267.601633333333,2121.310633333333,2312.3446666666664,2098.255333333333,1815.2915666666668,2312.3446666666664,2267.601633333333,2098.255333333333,1815.2915666666668,2274.753898840201,2098.255333333333
1989-3,1330,1336.6916117393682,1319.0327433333334,1333.6797766666666,1306.8783,1200.1117333333334,1382.0791533333334,1306.8783,1319.0327433333334,1200.1117333333334,1382.0791533333334,1336.6916117393682,1200.1117333333334
1989-4,237,300.0939722421122,252.99612,249.41707,259.99308,232.34791,288.97343666666666,259.99308,252.99612000000002,232.34791,288.97343666666666,300.0939722421122,232.34790999999998
1990-1,522,484.3582107027439,448.38496333333336,434.9514966666666,476.49322,454.12074666666666,976.6583433333334,476.49322,448.38496333333336,454.12074666666666,976.6583433333334,484.3582107027439,454.12074666666666
1990-2,906,826.8239576672007,792.1851533333333,779.20925,863.9456966666667,816.5557600000001,1166.629766666667,863.9456966666667,792.1851533333333,816.5557600000001,1166.6297666666667,826.8239576672007,816.5557600000001
