date,flow_{t+1},R-CNN
1961-01-31,219.01135005973723,217.74026
1961-02-28,214.9884259259259,198.11446
1961-03-31,279.00985663082434,227.02455
1961-04-30,525.0771604938271,388.63358
1961-05-31,701.9115890083632,727.853
1961-06-30,849.9228395061729,888.14124
1961-07-31,1749.9253285543607,1679.5021
1961-08-31,1210.0507765830346,1189.1644
1961-09-30,1260.0308641975307,1139.5656
1961-10-31,1479.9880525686976,1359.6803
1961-11-30,880.0154320987656,788.6885
1961-12-31,368.9889486260453,291.20804
1962-01-31,256.98178016726405,235.07312
1962-02-28,234.99503968253967,219.72926
1962-03-31,289.35185185185185,262.01138
1962-04-30,444.0586419753087,341.57224
1962-05-31,617.9062126642772,609.4501
1962-06-30,1160.108024691358,1122.012
1962-07-31,1490.068697729988,1460.1763
1962-08-31,1260.0806451612902,1196.187
1962-09-30,755.0154320987655,741.87366
1962-10-31,778.0764635603346,708.7522
1962-11-30,511.1882716049383,451.65042
1962-12-31,275.98566308243727,240.62436
1963-01-31,176.00059737156514,198.39413
1963-02-28,188.98809523809524,196.52563
1963-03-31,247.98387096774192,230.30016
1963-04-30,331.01851851851853,301.25626
1963-05-31,523.8201911589008,449.22455
1963-06-30,714.8919753,678.76154
1963-07-31,1609.9163679808842,1524.6652
1963-08-31,1310.110513739546,1237.9098
1963-09-30,2369.984567901234,2168.9695
1963-10-31,1870.1463560334528,1653.0383
1963-11-30,694.8302469135804,595.31165
1963-12-31,340.0164277180406,332.05725
1964-01-31,238.98596176821985,233.04333
1964-02-29,253.9910600255428,230.80049
1964-03-31,318.9964157706093,275.6519
1964-04-30,486.1111111111111,423.5122
1964-05-31,670.9229390681004,646.07544
1964-06-30,719.9074074074074,668.57776
1964-07-31,2000.0746714456395,1839.0026
1964-08-31,1540.0985663082438,1418.5455
1964-09-30,1599.9228395061727,1450.243
1964-10-31,1369.847670250896,1261.933
1964-11-30,652.0061728395061,614.7207
1964-12-31,332.9973118,294.48407
1965-01-31,238.98596176821985,242.30252
1965-02-28,265.54232804232805,236.65245
1965-03-31,283.0047789725209,266.48257
1965-04-30,432.87037037037044,346.2631
1965-05-31,667.9360812425329,640.9428
1965-06-30,935.1851851851852,890.04205
1965-07-31,1569.9671445639185,1517.371
1965-08-31,838.9336917562724,803.2922
1965-09-30,1050.1543209876545,992.17474
1965-10-31,869.9223416965351,817.77356
1965-11-30,447.91666666666663,400.8636
1965-12-31,223.0062724014337,239.50168
1966-01-31,187.0146356033453,201.52281
1966-02-28,187.00396825396825,205.23744
1966-03-31,244.9970131421744,232.26375
1966-04-30,334.99228395061726,308.6673
1966-05-31,405.09259259259267,417.79364
1966-06-30,484.18209876543216,494.54642
1966-07-31,1040.1732377538829,1098.9519
1966-08-31,1780.1672640382317,1716.3585
1966-09-30,2060.185185185185,2032.5028
1966-10-31,1469.9074074074072,1399.6854
1966-11-30,635.0308641975308,580.80194
1966-12-31,325.0074671445639,312.54712
1967-01-31,243.9889486260454,242.45764
1967-02-28,218.0059523809524,227.46504
1967-03-31,270.98267622461174,256.1287
1967-04-30,369.9845679012346,350.64203
1967-05-31,1160.020908004779,1104.9723
1967-06-30,1219.9074074074074,1209.348
1967-07-31,2113.575268817204,2056.9958
1967-08-31,1699.8954599761048,1693.845
1967-09-30,2550.154320987654,2383.5242
1967-10-31,1630.077658303465,1601.6199
1967-11-30,841.0493827160494,740.3639
1967-12-31,386.05137395459974,336.4911
1968-01-31,286.9997013142174,264.85657
1968-02-29,253.9910600255428,262.552
1968-03-31,317.9883512544803,304.86432
1968-04-30,496.9135802469136,477.87967
1968-05-31,1189.889486260454,1139.3994
1968-06-30,1130.0154320987654,1141.5944
1968-07-31,1440.0388291517324,1417.8273
1968-08-31,1020.0119474313022,926.55
1968-09-30,2069.830247,2004.4944
1968-10-31,1319.8178016726404,1213.285
1968-11-30,677.8549383,621.66113
1968-12-31,378.9575866188769,295.73505
1969-01-31,261.9847670250896,245.8252
1969-02-28,251.98412700000003,252.81369
1969-03-31,294.9895459976105,284.49268
1969-04-30,375.0000000000001,381.57367
1969-05-31,548.8351254480286,521.5153
1969-06-30,689.8148148148148,644.4327
1969-07-31,1149.9402628434889,1167.8771
1969-08-31,881.8697729988053,794.6849
1969-09-30,768.1327160493827,753.56146
1969-10-31,896.057347670251,801.38556
1969-11-30,437.11419753086426,385.36478
1969-12-31,218.0032855436081,233.24641
1970-01-31,183.99044205495807,199.29892
1970-02-28,159.01951058201058,195.39896
1970-03-31,200.00746714456392,225.42924
1970-04-30,380.0154320987655,356.15707
1970-05-31,594.0113500597372,597.9498
1970-06-30,714.1203703703704,726.49066
1970-07-31,731.0334528076463,776.5433
1970-08-31,1229.8387096774193,1163.5334
1970-09-30,599.9228395061729,604.4551
1970-10-31,645.1612903225806,600.1069
1970-11-30,372.9938271604938,341.61316
1970-12-31,186.00657108721623,213.5062
1971-01-31,183.24372759856632,185.94112
1971-02-28,156.00198412698413,154.5387
1971-03-31,201.0155316606929,224.22728
1971-04-30,315.0077160493827,325.38782
1971-05-31,477.8972520908004,471.79807
1971-06-30,618.8271604938271,664.3518
1971-07-31,714.979092,733.7679
1971-08-31,614.9193548387096,680.2585
1971-09-30,1369.9845679012346,1317.0153
1971-10-31,1870.1463560334528,1719.9559
1971-11-30,755.0154320987655,716.64856
1971-12-31,303.0167264038232,323.59973
1972-01-31,220.99014336917563,209.70438
1972-02-29,212.00510855683268,195.54718
1972-03-31,280.98864994026286,261.2198
1972-04-30,440.2006172839505,373.01926
1972-05-31,742.9808841099162,731.6174
1972-06-30,1060.1851851851852,1078.7003
1972-07-31,1929.8835125448031,1896.0594
1972-08-31,1130.152329749104,1105.5204
1972-09-30,814.8148148148148,810.0008
1972-10-31,652.6284348864993,649.77734
1972-11-30,378.00925925925924,360.89395
1972-12-31,215.01642771804063,242.86855
1973-01-31,174.99253285543608,205.75291
1973-02-28,178.98478835978835,213.84715
1973-03-31,219.01135005973723,225.4574
1973-04-30,279.0123456790124,291.53403
1973-05-31,561.9026284348865,565.5264
1973-06-30,1000.0,1027.3081
1973-07-31,953.9277180406212,866.4411
1973-08-31,928.1660692951016,940.6166
1973-09-30,1069.830247,1024.1013
1973-10-31,1070.041816009558,1030.8885
1973-11-30,548.9969135802469,493.31198
1973-12-31,256.0110513739546,261.70654
1974-01-31,167.0026882,206.07196
1974-02-28,181.0102513227513,201.68094
1974-03-31,227.00119474313018,233.62602
1974-04-30,325.0,302.12204
1974-05-31,489.09796893667857,501.64764
1974-06-30,917.0524691358024,935.5901
1974-07-31,897.9241338112306,939.8266
1974-08-31,1040.1732377538829,1076.8887
1974-09-30,1349.9228395061727,1393.1957
1974-10-31,999.8506571087216,1014.7045
1974-11-30,636.1882716049382,591.55426
1974-12-31,284.98357228195937,279.64398
1975-01-31,192.98835125448028,211.25392
1975-02-28,192.9976851851852,214.13762
1975-03-31,242.01015531660693,240.37227
1975-04-30,301.00308641975306,291.18155
1975-05-31,679.8835125448029,735.4249
1975-06-30,1140.0462962962963,1191.9448
1975-07-31,2280.0925925925926,2298.463
1975-08-31,1929.8835125448031,1890.5951
1975-09-30,1729.9382716049383,1734.0309
1975-10-31,2010.155316606929,2017.0804
1975-11-30,949.0740741,904.39966
1975-12-31,372.0131421744325,387.17447
1976-01-31,271.9907407407408,274.28583
1976-02-29,279.01500638569604,249.0227
1976-03-31,329.0023894862604,301.25494
1976-04-30,451.3888888888889,417.20126
1976-05-31,654.8685782556751,660.9229
1976-06-30,1199.8456790123455,1141.9727
1976-07-31,1519.937275985663,1567.0509
1976-08-31,2060.185185185185,1953.9004
1976-09-30,2150.077160493828,1928.2053
1976-10-31,1120.0716845878137,1045.5094
1976-11-30,586.0339506,580.17896
1976-12-31,315.00149342891274,287.39844
1977-01-31,228.0092592592593,249.38478
1977-02-28,219.9900793650794,246.18683
1977-03-31,294.9895459976105,275.5327
1977-04-30,670.1388888888889,661.9593
1977-05-31,890.0836320191158,897.083
1977-06-30,994.9845679012343,1010.9606
1977-07-31,831.0931899641577,810.1181
1977-08-31,760.9020310633214,722.2668
1977-09-30,694.8302469135804,706.97437
1977-10-31,567.1296296296297,532.217
1977-11-30,355.0154320987654,300.3272
1977-12-31,192.98835125448028,211.75972
1978-01-31,136.9847670250896,187.55511
1978-02-28,151.00033068783068,202.77747
1978-03-31,197.99133811230587,235.99599
1978-04-30,484.9537037037037,443.06558
