index,CER-XGB,CER-LSTM,CER-BiLSTM,CER-CNN,CER-MLR,E_XGB,E_LSTM,E_BiLSTM,E_CNN,E_MLR,R_XGB,R_LSTM,R_BiLSTM,R_CNN,R_MLR
ME,-0.2201359022671748,-30.21571064562143,-38.37277407201488,3.096008988694748,5.753242999851478e-13,1.3759597723360022,-85.78154240799307,28.32869124568235,22.25616818641536,1.085192541888153e-13,-2.602285227663997,-33.649362049568744,-28.79835048433141,-20.22091189864545,1.567500338282888e-13
MAE,6.509459778854218,37.87591454190861,40.567416676408506,20.934518948589663,32.11195668332459,58.88921310415476,158.16532155213653,80.96871562100442,66.3820848470024,183.1730359626122,13.843230500541642,41.36909008595772,37.92514829128491,38.29829563094186,36.012585812046325
MSE,1410.1800576288729,2637.6016162431524,2631.6288329163867,708.2355033655876,1896.7843301216155,6610.685577667164,65620.32829180882,13700.132816705564,6872.845035411694,70915.7584350073,3387.5034499758244,3311.7128287509263,2944.4573587908544,2874.3591279163256,2469.3541380540632
MLE,0.0009867851282976,-0.0620618624935555,-0.0792263836386537,0.0175056403518618,0.0039472663110234,0.0204468867497986,-0.0630671002462966,0.0423675847961135,0.1003610401627684,-0.0085864016421679,-0.0003433668328238,-0.0662795106384798,-0.055072063730974,-0.0175054145396667,0.007303440163833
MALE,0.0063274776256224,0.0730729422488184,0.0823126895547871,0.0421374987217744,0.0585860724049878,0.1026830164462411,0.1934356094356024,0.1209299404846785,0.1362961089137069,0.2830308249074945,0.0172036869031453,0.0777699493221497,0.0682195478516824,0.0653509468175708,0.0637819657495615
MSLE,0.0002390952118933,0.011303622685127,0.0127479929888858,0.00358943620553,0.0075554789702035,0.0182386116956385,0.058913979597611,0.0241766329454007,0.033567692311074,0.2061635311439164,0.0008688921896388,0.0138445810437615,0.0113317832439828,0.0074527202119775,0.0081326256017946
MAPE,0.6326440194618012,6.839723191377496,7.673845442549831,4.360430620082565,5.810939145977713,10.699384677238465,18.34698898528838,12.76533574492966,15.405062257509002,27.555302260702064,1.7189791508689165,7.208226804692212,6.362038804308272,6.498176207523393,6.373670379620533
MDE,-0.063331953404969,-23.66541251087986,-32.62198753463255,4.181266939625857,4.688502362905865,6.560875229276917,-20.278441829825734,25.379638671875,38.64882486835934,21.88818428923834,-0.3399719334926487,-24.72814565557543,-19.149428594853887,-13.053155477471364,3.726607349823837
MDAE,1.4309651314217433,26.973060644370836,32.86906776226385,17.87225176812356,24.6068480046481,46.43218154320985,79.77387525891942,48.82396519887919,58.700179101481794,115.0022997961288,6.063635119135796,28.517599613295715,25.78791833389141,26.83826803847738,27.14018887734244
MDSE,2.0476795579228844,727.5478584397198,1080.39416828523,319.4178396373503,605.497700681508,2155.9972920362325,6363.942683977341,2384.860173381053,3445.7397175573246,13225.585202648392,36.76771709555726,813.4098310068135,665.0267595439045,720.3166572802595,736.5898531798151
