index,CER-XGB,CER-LSTM,CER-BiLSTM,CER-CNN,CER-MLR,E_XGB,E_LSTM,E_BiLSTM,E_CNN,E_MLR,R_XGB,R_LSTM,R_BiLSTM,R_CNN,R_MLR
ME,-0.3859694578323263,-7.349002574529798,-0.2375433915593475,15.237377545949895,5.077150820976716e-13,-0.1035307673561327,-49.69579791671509,-44.92323958883792,25.348843462439003,-1.7225278442669096e-14,-0.544004100689466,5.767903649345305,-21.97907120902539,-25.210327809607637,5.813531474400821e-14
MAE,4.615573791118513,20.34334209883446,15.915804331639452,27.45240664571673,18.75546909210036,5.830370859792653,154.82113661410722,148.2259422158901,54.01908856078997,176.87139816183577,9.302830679804847,17.696723337162577,26.76475202753135,29.913103488034928,21.4853433576999
MSE,883.9144910120127,899.302308453365,501.8252934247644,1299.1064676225865,733.7474080125332,1023.4445670093248,63550.49995720349,51456.89954849516,4272.455939524564,66471.10724444983,2629.288484327595,639.3079140685893,1482.9043359854004,1481.1413952967296,923.844657472848
MLE,0.0008599586565919,-0.00471067256945,0.0040325900827448,0.0362711638217677,0.0031060522445066,0.0015324312174262,-0.0130052513239906,-0.0464395430046445,0.1056422788993934,,0.0016413029190707,0.0087795708221071,-0.0272234390173842,-0.0561844255882626,0.0074602817637758
MALE,0.0039362500958133,0.0350557587428294,0.0304131832286933,0.0508932427524852,0.0353709237096097,0.0055639252625583,0.1942712424331531,0.2067565298918714,0.1374579142905557,,0.0098924629016418,0.0337709027261185,0.0434766854644416,0.0640185139965338,0.0417395430270003
MSLE,0.000127433882393,0.0023539373264387,0.0024483066366264,0.0046116936632472,0.0053589436090065,0.0002289767446335,0.0597351253290924,0.0637463857779596,0.0405022988456979,,0.0004833165646853,0.0050467079840822,0.0038996509985017,0.0079549140905052,0.0059383087417366
MAPE,0.3924568800884165,3.4913761157211964,3.0218461365338207,5.316992466299232,3.420032225296656,0.5595383532365321,19.515714664905172,20.346842595200147,16.005662627807997,28.80555430875156,0.9867619433373306,3.2777655128798604,4.234988619296485,6.062307108173226,4.088652629249988
MDE,0.0688559398645907,-2.674600899717973,3.547587332047556,13.492239635715151,3.912921700085121,0.1110992114695363,-1.7306222350834446,-22.68716103169143,28.13118056309077,15.14149560532286,0.2461034944176248,6.462559498339118,-14.626624116096195,-23.47801594979164,5.496405168314013
MDAE,0.6628904778972071,13.337169694745896,11.807022821335565,19.75624988697197,12.830866068079416,0.9380456349206412,72.1697923970953,82.46818200661718,53.41024669068409,113.75364978300344,2.407271987805373,12.141425305559864,17.12122923783791,25.10418428367957,15.2456095552468
MDSE,0.4394346471606906,177.88815571607387,139.41230233871352,390.3564857392759,164.6648743397194,0.8799334391503673,5208.508627463891,6801.028341169642,2852.6988146865783,12939.969375793502,5.795013408310972,147.41438879680976,293.1376281098192,630.2338110503167,232.4367645863776
