date,flow,E-LSTM
1961-01-31,173.01373954599762,194.46252
1961-02-28,167.989417989418,172.78722
1961-03-31,241.0020908004779,222.92857
1961-04-30,476.8518518518519,503.41788
1961-05-31,673.9097968936678,638.7943
1961-06-30,834.104938271605,736.18243
1961-07-31,1699.895459976105,894.234
1961-08-31,1099.910394265233,951.40643
1961-09-30,1079.861111111111,921.32544
1961-10-31,1310.110513739546,898.543
1961-11-30,755.0154320987655,555.2439
1961-12-31,286.9997013142174,317.77676
1962-01-31,196.01254480286727,232.16759
1962-02-28,192.00562169312167,222.46791
1962-03-31,205.01045400238948,253.66982
1962-04-30,398.1481481481481,499.87802
1962-05-31,576.836917562724,683.49506
1962-06-30,1140.0462962962963,817.878
1962-07-31,1490.068697729988,1189.4056
1962-08-31,1239.9193548387098,1279.8926
1962-09-30,694.8302469135804,1054.9238
1962-10-31,732.1535244922342,886.2809
1962-11-30,456.0185185185185,540.8576
1962-12-31,214.00836320191164,323.68787
1963-01-31,141.98775388291517,229.91446
1963-02-28,137.97949735449737,226.25827
1963-03-31,212.320788530466,275.59488
1963-04-30,283.9891975308642,441.348
1963-05-31,467.8166069295101,592.6225
1963-06-30,675.1543209876543,756.6911
1963-07-31,1519.937275985663,1256.386
1963-08-31,1199.9701314217443,1405.6888
1963-09-30,2219.9074074074074,1718.1594
1963-10-31,1630.077658303465,1346.6807
1963-11-30,574.8456790123457,606.5227
1963-12-31,266.9877538829152,297.2722
1964-01-31,202.99432497013143,181.95872
1964-02-29,191.01213282247764,157.06412
1964-03-31,251.00806451612905,207.84283
1964-04-30,405.0925925925926,414.34772
1964-05-31,585.0507765830347,527.8674
1964-06-30,623.8425925925927,730.6765
1964-07-31,1810.0358422939066,1765.2155
1964-08-31,1410.1702508960575,1561.3273
1964-09-30,1410.1080246913575,1441.7672
1964-10-31,1249.9999999999998,1296.1868
1964-11-30,584.8765432098766,657.7927
1964-12-31,275.01493428912784,350.57556
1965-01-31,197.99133811230587,225.69118
1965-02-28,207.010582010582,196.4875
1965-03-31,227.00119474313024,250.81404
1965-04-30,349.99999999999994,440.6375
1965-05-31,586.9175627240144,658.91504
1965-06-30,866.1265432098766,913.16907
1965-07-31,1500.1493428912784,1528.9697
1965-08-31,794.1308243727599,1299.2018
1965-09-30,996.141975308642,1143.3867
1965-10-31,823.9994026284348,936.94507
1965-11-30,417.0524691358025,502.97052
1965-12-31,213.0002986857825,261.53152
1966-01-31,173.98446833930706,165.25339
1966-02-28,166.9973544973545,162.55794
1966-03-31,227.00119474313024,243.36815
1966-04-30,310.9953703703704,375.73782
1966-05-31,368.0182198327359,551.84564
1966-06-30,447.91666666666674,716.62274
1966-07-31,1049.8805256869773,1274.0594
1966-08-31,1749.9253285543605,1823.1337
1966-09-30,2010.030864197531,1692.52
1966-10-31,1440.0388291517324,989.6792
1966-11-30,601.8518518518518,470.00497
1966-12-31,285.9916367980884,264.70563
1967-01-31,206.0185185185185,177.99815
1967-02-28,192.9976851851852,171.03378
1967-03-31,249.7759856630824,227.37228
1967-04-30,347.9938271604938,344.57513
1967-05-31,1109.9910394265232,713.38495
1967-06-30,1170.138888888889,895.26447
1967-07-31,1969.8327359617683,1150.3983
1967-08-31,1649.8655913978494,1205.1603
1967-09-30,2359.953703703704,1821.6307
1967-10-31,1540.0985663082438,913.2748
1967-11-30,812.1141975308642,465.69016
1967-12-31,353.00925925925924,284.52887
1968-01-31,255.0029868578256,206.24315
1968-02-29,229.00702426564496,204.28896
1968-03-31,307.0116487455198,280.91068
1968-04-30,500.0,387.3966
1968-05-31,1189.889486260454,718.644
1968-06-30,1160.108024691358,801.445
1968-07-31,1419.8775388291515,850.91016
1968-08-31,974.8357228195937,966.1022
1968-09-30,2040.123456790124,1244.1104
1968-10-31,1220.131421744325,937.13574
1968-11-30,562.8858024691358,533.5642
1968-12-31,315.00149342891274,306.741
1969-01-31,234.9910394265233,199.86804
1969-02-28,209.98677248677245,178.49777
1969-03-31,252.9868578255675,270.6535
1969-04-30,331.01851851851853,409.59564
1969-05-31,510.0059737156511,591.8203
1969-06-30,650.0771604938273,910.18
1969-07-31,1130.152329749104,1348.2268
1969-08-31,793.0107526881719,1295.4391
1969-09-30,709.104938271605,992.6725
1969-10-31,841.173835125448,785.7206
1969-11-30,381.0185185185185,507.30954
1969-12-31,190.0014934289128,317.57648
