date,flow_{t+1},R-CNN
1961-01-31,173.01373954599762,165.18568
1961-02-28,167.989417989418,154.79475
1961-03-31,241.0020908004779,192.54996
1961-04-30,476.8518518518519,384.85205
1961-05-31,673.9097968936678,591.00745
1961-06-30,834.104938271605,765.92474
1961-07-31,1699.895459976105,1629.468
1961-08-31,1099.910394265233,1105.2156
1961-09-30,1079.861111111111,1077.4194
1961-10-31,1310.110513739546,1316.6744
1961-11-30,755.0154320987655,729.0701
1961-12-31,286.9997013142174,258.31638
1962-01-31,196.01254480286727,167.17172
1962-02-28,192.00562169312167,167.13379
1962-03-31,205.01045400238948,198.61185
1962-04-30,398.1481481481481,323.08392
1962-05-31,576.836917562724,528.1935
1962-06-30,1140.0462962962963,1050.7189
1962-07-31,1490.068697729988,1406.7853
1962-08-31,1239.9193548387098,1119.4512
1962-09-30,694.8302469135804,621.28265
1962-10-31,732.1535244922342,682.76074
1962-11-30,456.0185185185184,400.93134
1962-12-31,214.00836320191158,210.02809
1963-01-31,141.98775388291517,141.67783
1963-02-28,137.97949735449737,147.49924
1963-03-31,212.32078853046602,169.7822
1963-04-30,283.9891975308642,281.5674
1963-05-31,467.81660692951016,432.09964
1963-06-30,675.1543209876543,595.52075
1963-07-31,1519.937275985663,1478.8965
1963-08-31,1199.9701314217443,1150.865
1963-09-30,2219.9074074074074,2231.62
1963-10-31,1630.077658303465,1599.9701
1963-11-30,574.8456790123457,575.4355
1963-12-31,266.9877538829152,283.9142
1964-01-31,202.99432497013143,206.8158
1964-02-29,191.01213282247764,186.79773
1964-03-31,251.00806451612902,252.1551
1964-04-30,405.0925925925926,379.2966
1964-05-31,585.0507765830347,574.119
1964-06-30,623.8425925925927,584.7621
1964-07-31,1810.0358422939069,1792.3486
1964-08-31,1410.1702508960575,1359.3011
1964-09-30,1410.1080246913575,1391.4167
1964-10-31,1249.9999999999998,1194.2931
1964-11-30,584.8765432098766,564.7633
1964-12-31,275.01493428912784,242.6889
1965-01-31,197.99133811230587,177.08273
1965-02-28,207.010582010582,181.78917
1965-03-31,227.0011947431302,216.18446
1965-04-30,349.99999999999994,330.5736
1965-05-31,586.9175627240144,553.57886
1965-06-30,866.1265432098766,841.1852
1965-07-31,1500.1493428912784,1452.1675
1965-08-31,794.1308243727599,677.55884
1965-09-30,996.141975308642,957.77264
1965-10-31,823.9994026284348,808.7811
1965-11-30,417.0524691358024,389.3544
1965-12-31,213.00029868578244,198.9232
1966-01-31,173.98446833930706,160.12636
1966-02-28,166.9973544973545,165.12651
1966-03-31,227.0011947431302,193.63947
1966-04-30,310.9953703703704,313.6329
1966-05-31,368.01821983273584,380.77512
1966-06-30,447.91666666666663,479.65155
1966-07-31,1049.8805256869773,1065.6891
1966-08-31,1749.925328554361,1674.9109
1966-09-30,2010.030864197531,2022.2604
1966-10-31,1440.0388291517324,1392.2754
1966-11-30,601.8518518518518,577.1477
1966-12-31,285.9916367980884,282.88333
1967-01-31,206.0185185185185,199.49687
1967-02-28,192.9976851851852,189.13608
1967-03-31,249.77598566308242,231.51038
1967-04-30,347.9938271604938,336.93384
1967-05-31,1109.9910394265232,1081.0289
1967-06-30,1170.138888888889,1138.5283
1967-07-31,1969.832735961768,1984.278
1967-08-31,1649.8655913978494,1605.2736
1967-09-30,2359.953703703704,2365.6611
1967-10-31,1540.0985663082438,1533.7035
1967-11-30,812.1141975308642,741.99036
1967-12-31,353.0092592592592,309.53174
1968-01-31,255.0029868578256,231.37346
1968-02-29,229.00702426564496,212.9212
1968-03-31,307.0116487455198,293.67764
1968-04-30,500.0,431.42435
1968-05-31,1189.889486260454,1126.2018
1968-06-30,1160.108024691358,1093.6968
1968-07-31,1419.8775388291515,1334.4528
1968-08-31,974.8357228195937,908.6679
1968-09-30,2040.123456790124,2035.8043
1968-10-31,1220.131421744325,1175.8351
1968-11-30,562.8858024691358,546.3917
1968-12-31,315.00149342891274,269.18488
1969-01-31,234.99103942652332,211.66454
1969-02-28,209.9867724867725,199.72482
1969-03-31,252.98685782556748,227.11955
1969-04-30,331.01851851851853,330.3486
1969-05-31,510.0059737156512,469.31476
1969-06-30,650.0771604938273,581.467
1969-07-31,1130.152329749104,1075.5459
1969-08-31,793.0107526881719,740.8957
1969-09-30,709.104938271605,713.06506
1969-10-31,841.173835125448,803.282
