date,flow,CER-LSTM
1961-01-31,173.01373954599762,181.06187
1961-02-28,167.989417989418,181.41637
1961-03-31,241.0020908004779,246.44029
1961-04-30,476.8518518518519,443.73404
1961-05-31,673.9097968936678,627.8897
1961-06-30,834.104938271605,789.6392
1961-07-31,1699.895459976105,1602.7754
1961-08-31,1099.910394265233,1149.8942
1961-09-30,1079.861111111111,1063.0931
1961-10-31,1310.110513739546,1310.5787
1961-11-30,755.0154320987655,723.60406
1961-12-31,286.9997013142174,283.17026
1962-01-31,196.01254480286727,181.94914
1962-02-28,192.00562169312167,201.97473
1962-03-31,205.01045400238948,233.2151
1962-04-30,398.1481481481481,396.41006
1962-05-31,576.836917562724,595.2963
1962-06-30,1140.0462962962963,1044.5587
1962-07-31,1490.068697729988,1418.7916
1962-08-31,1239.9193548387098,1141.9658
1962-09-30,694.8302469135804,711.45886
1962-10-31,732.1535244922342,684.4182
1962-11-30,456.0185185185185,446.44177
1962-12-31,214.00836320191164,215.51814
1963-01-31,141.98775388291517,133.91663
1963-02-28,137.97949735449737,143.76035
1963-03-31,212.320788530466,203.70111
1963-04-30,283.9891975308642,307.4533
1963-05-31,467.8166069295101,473.43915
1963-06-30,675.1543209876543,665.05475
1963-07-31,1519.937275985663,1509.0635
1963-08-31,1199.9701314217443,1193.6091
1963-09-30,2219.9074074074074,2208.326
1963-10-31,1630.077658303465,1540.9803
1963-11-30,574.8456790123457,618.4711
1963-12-31,266.9877538829152,282.79193
1964-01-31,202.99432497013143,202.69377
1964-02-29,191.01213282247764,212.35321
1964-03-31,251.00806451612905,258.5932
1964-04-30,405.0925925925926,393.96057
1964-05-31,585.0507765830347,565.78613
1964-06-30,623.8425925925927,610.63385
1964-07-31,1810.0358422939066,1835.1002
1964-08-31,1410.1702508960575,1323.3527
1964-09-30,1410.1080246913575,1369.4518
1964-10-31,1249.9999999999998,1223.2933
1964-11-30,584.8765432098766,601.7413
1964-12-31,275.01493428912784,272.51593
1965-01-31,197.99133811230587,183.20921
1965-02-28,207.010582010582,195.78406
1965-03-31,227.00119474313024,221.22699
1965-04-30,349.99999999999994,345.62518
1965-05-31,586.9175627240144,574.569
1965-06-30,866.1265432098766,835.6033
1965-07-31,1500.1493428912784,1446.5077
1965-08-31,794.1308243727599,792.5996
1965-09-30,996.141975308642,975.8161
1965-10-31,823.9994026284348,819.4295
1965-11-30,417.0524691358025,410.05914
1965-12-31,213.0002986857825,196.40065
1966-01-31,173.98446833930706,173.35432
1966-02-28,166.9973544973545,180.89087
1966-03-31,227.00119474313024,242.82744
1966-04-30,310.9953703703704,319.9466
1966-05-31,368.0182198327359,372.81998
1966-06-30,447.91666666666674,466.3392
1966-07-31,1049.8805256869773,1048.9739
1966-08-31,1749.9253285543605,1736.9865
1966-09-30,2010.030864197531,2059.6445
1966-10-31,1440.0388291517324,1383.9708
1966-11-30,601.8518518518518,629.1043
1966-12-31,285.9916367980884,313.96802
1967-01-31,206.0185185185185,215.80563
1967-02-28,192.9976851851852,207.03082
1967-03-31,249.7759856630824,263.02338
1967-04-30,347.9938271604938,367.37274
1967-05-31,1109.9910394265232,1042.2772
1967-06-30,1170.138888888889,1164.2567
1967-07-31,1969.8327359617683,2017.0916
1967-08-31,1649.8655913978494,1603.7737
1967-09-30,2359.953703703704,2341.4277
1967-10-31,1540.0985663082438,1543.944
1967-11-30,812.1141975308642,763.81177
1967-12-31,353.00925925925924,341.7326
1968-01-31,255.0029868578256,242.73076
1968-02-29,229.00702426564496,224.37881
1968-03-31,307.0116487455198,297.01978
1968-04-30,500.0,479.4152
1968-05-31,1189.889486260454,1101.3734
1968-06-30,1160.108024691358,1147.6703
1968-07-31,1419.8775388291515,1315.6039
1968-08-31,974.8357228195937,990.2223
1968-09-30,2040.123456790124,2016.8184
1968-10-31,1220.131421744325,1185.7029
1968-11-30,562.8858024691358,544.7612
1968-12-31,315.00149342891274,299.59827
1969-01-31,234.9910394265233,225.85431
1969-02-28,209.98677248677245,215.59343
1969-03-31,252.9868578255675,250.27632
1969-04-30,331.01851851851853,333.26462
1969-05-31,510.0059737156511,487.45135
1969-06-30,650.0771604938273,651.95074
1969-07-31,1130.152329749104,1090.3885
1969-08-31,793.0107526881719,786.65436
1969-09-30,709.104938271605,725.27106
